link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,original_link_id,main_node_id,movement_str,TMC
0,100,153400,,,310.6109466156598,1,699.0,46.67086,6,,"LINESTRING (-111.94206 33.40665,-111.94246 33.40665,-111.9427 33.40667,-111.9428 33.40668,-111.9429 33.40667,-111.94295 33.40659,-111.94293 33.40652,-111.94291 33.4064,-111.9429 33.40624,-111.9429 33.40612,-111.94293 33.40596,-111.94293 33.40587,-111.94289 33.4058,-111.94279 33.40578,-111.94271 33.40579,-111.94249 33.40583,-111.94145 33.40584)",1a,,,
1,153401,101,,,287.5331512492992,1,699.0,46.67086,6,,"LINESTRING (-111.94145 33.4059,-111.94249 33.40589,-111.94272 33.40585,-111.94279 33.40584,-111.94283 33.40586,-111.94285 33.40589,-111.94286 33.40596,-111.94283 33.40611,-111.94282 33.40624,-111.94283 33.40641,-111.94286 33.40653,-111.94287 33.40658,-111.94285 33.40661,-111.9428 33.40662,-111.9427 33.40661,-111.94246 33.40658,-111.94206 33.40659)",1b,,,
2,102,263700,,,70.33982582456079,1,699.0,46.67086,6,,"LINESTRING (-111.94194 33.40669,-111.94194 33.407,-111.94194 33.40705,-111.94194 33.40726,-111.94194 33.40732)",5a,,,
3,263701,103,,,70.44038322105817,1,699.0,46.67086,6,,"LINESTRING (-111.94202 33.40733,-111.94202 33.40726,-111.94202 33.40705,-111.94202 33.407,-111.94202 33.40669)",5b,,,
4,200,4800,,,50.099216971984994,1,699.0,40.2335,6,,"LINESTRING (-111.96529 33.42311,-111.96529 33.423,-111.96529 33.42268,-111.96528 33.42266)",7,,,
5,300,146100,,,12.499755317543414,2,3598.0,94.95106,1,,"LINESTRING (-111.92637 33.38616,-111.9265 33.38616)",8,,,
6,301,173000,,,75.8604730373829,3,3597.0,64.3736,3,,"LINESTRING (-111.92636 33.38629,-111.92636 33.3868,-111.92636 33.38683,-111.9264 33.38697)",9,,,
7,400,500,,,30.63521909173029,1,699.0,46.67086,6,,"LINESTRING (-111.88773 33.38123,-111.888 33.38107)",10a,,,
8,501,401,,,30.63521909163676,1,699.0,46.67086,6,,"LINESTRING (-111.88795 33.38102,-111.88769 33.38118)",10b,,,
9,502,700,,,55.12213005295127,1,699.0,46.67086,6,,"LINESTRING (-111.88813 33.38097,-111.88827 33.38084,-111.8885 33.38058)",14a,,,
10,701,503,,,54.42085130900327,1,699.0,46.67086,6,,"LINESTRING (-111.88844 33.38055,-111.88821 33.3808,-111.88808 33.38093)",14b,,,
11,504,177200,,,55.27521979603218,1,699.0,40.2335,6,,"LINESTRING (-111.88804 33.38108,-111.88805 33.38111,-111.88812 33.38124,-111.88816 33.38136,-111.8882 33.38153,-111.88821 33.38156)",16a,,,
12,177201,505,,,57.06898467114422,1,699.0,40.2335,6,,"LINESTRING (-111.88828 33.38155,-111.88828 33.38152,-111.88823 33.38134,-111.88819 33.38122,-111.88812 33.38109,-111.88811 33.38106)",16b,,,
13,506,325300,,,92.99866068016605,1,699.0,40.2335,6,,"LINESTRING (-111.88802 33.38093,-111.88798 33.38089,-111.8879 33.3808,-111.88782 33.38073,-111.8877 33.38064,-111.88759 33.38056,-111.88744 33.38048,-111.88729 33.38041,-111.88726 33.38039)",18a,,,
14,325301,507,,,90.4771643798402,1,699.0,40.2335,6,,"LINESTRING (-111.88722 33.38045,-111.88726 33.38046,-111.8874 33.38053,-111.88754 33.38061,-111.88765 33.38069,-111.88776 33.38077,-111.88784 33.38084,-111.88792 33.38093,-111.88796 33.38097)",18b,,,
15,600,186100,,,89.48147028629131,1,699.0,46.67086,6,,"LINESTRING (-111.92787 33.4203,-111.92802 33.4203,-111.9288 33.4203,-111.92881 33.4203,-111.92883 33.4203)",20a,,,
16,186101,601,,,89.26845979667789,1,699.0,46.67086,6,,"LINESTRING (-111.92883 33.42024,-111.92881 33.42024,-111.9288 33.42024,-111.92802 33.42024,-111.92787 33.42024)",20b,,,
17,800,149501,,,390.6704546881606,1,1799.0,94.95106,1,,"LINESTRING (-111.97856 33.42084,-111.97849 33.41953,-111.97846 33.41907,-111.97841 33.41853,-111.97835 33.41765,-111.97828 33.41733)",24,,,
18,900,88100,,,239.8286241865895,1,699.0,46.67086,6,,"LINESTRING (-111.88507 33.40236,-111.88423 33.40032)",25a,,,
19,88101,901,,,239.8286241865895,1,699.0,46.67086,6,,"LINESTRING (-111.88416 33.40034,-111.885 33.40238)",25b,,,
20,902,209400,,,628.6990603905873,1,699.0,46.67086,6,,"LINESTRING (-111.88498 33.40241,-111.88485 33.40241,-111.88425 33.40242,-111.88422 33.40301,-111.88424 33.40368,-111.88431 33.40415,-111.88443 33.40483,-111.88461 33.40539,-111.8847 33.40566,-111.88494 33.40625,-111.88495 33.40628,-111.88498 33.40645,-111.88497 33.40658,-111.88496 33.40718,-111.88497 33.4074)",27a,,,
21,209401,903,,,615.0586464843747,1,699.0,46.67086,6,,"LINESTRING (-111.88504 33.40739,-111.88504 33.40718,-111.88505 33.40658,-111.88505 33.40644,-111.88502 33.40627,-111.88501 33.40624,-111.88477 33.40564,-111.88468 33.40537,-111.8845 33.40481,-111.88438 33.40414,-111.88431 33.40368,-111.88429 33.40301,-111.88432 33.40248,-111.88486 33.40247,-111.88498 33.40247)",27b,,,
22,904,209600,,,589.1491013110003,1,699.0,46.67086,6,,"LINESTRING (-111.88515 33.40248,-111.88537 33.40249,-111.88594 33.40392,-111.88673 33.40587,-111.88687 33.4062,-111.88689 33.40627,-111.88693 33.40642,-111.88702 33.40693,-111.88708 33.40738,-111.88708 33.40739)",29a,,,
23,209601,905,,,600.5231809494844,1,699.0,46.67086,6,,"LINESTRING (-111.88716 33.40739,-111.88716 33.40738,-111.88709 33.40692,-111.88701 33.4064,-111.88697 33.40626,-111.88695 33.40619,-111.8868 33.40585,-111.88601 33.4039,-111.88543 33.40242,-111.88515 33.40241)",29b,,,
