link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0701:00_0702:00,0.000,2.000,0.000,0.667,0.000,1.008,0.470,59.534,simulation-based
1,1,3,0702:00_0703:00,1.000,85.000,1.000,28.000,1.000,1.003,0.202,59.798,simulation-based
1,1,3,0703:00_0704:00,84.000,169.000,85.000,28.000,0.000,1.013,0.783,59.227,simulation-based
1,1,3,0704:00_0705:00,83.000,252.000,168.000,28.000,1.000,1.004,0.217,59.784,simulation-based
1,1,3,0705:00_0706:00,84.000,335.000,252.000,27.667,0.000,1.009,0.524,59.481,simulation-based
1,1,3,0706:00_0707:00,83.000,419.000,335.000,28.000,0.000,1.006,0.349,59.653,simulation-based
1,1,3,0707:00_0708:00,82.000,502.000,417.000,28.333,2.000,1.005,0.325,59.676,simulation-based
1,1,3,0708:00_0709:00,85.000,585.000,502.000,27.667,0.000,1.009,0.536,59.469,simulation-based
1,1,3,0709:00_0710:00,81.000,669.000,583.000,28.667,2.000,1.008,0.494,59.510,simulation-based
1,1,3,0710:00_0711:00,86.000,752.000,669.000,27.667,0.000,1.012,0.735,59.274,simulation-based
1,1,3,0711:00_0712:00,82.000,835.000,751.000,28.000,1.000,1.004,0.214,59.786,simulation-based
1,1,3,0712:00_0713:00,84.000,919.000,835.000,28.000,0.000,1.011,0.651,59.356,simulation-based
1,1,3,0713:00_0714:00,83.000,1002.000,918.000,28.000,1.000,1.009,0.518,59.486,simulation-based
1,1,3,0714:00_0715:00,84.000,1085.000,1002.000,27.667,0.000,1.006,0.357,59.645,simulation-based
1,1,3,0715:00_0716:00,83.000,1169.000,1085.000,28.000,0.000,1.014,0.819,59.192,simulation-based
1,1,3,0716:00_0717:00,83.000,1252.000,1168.000,28.000,1.000,1.005,0.313,59.688,simulation-based
1,1,3,0717:00_0718:00,83.000,1335.000,1251.000,28.000,1.000,1.003,0.179,59.822,simulation-based
1,1,3,0718:00_0719:00,83.000,1419.000,1334.000,28.333,1.000,1.007,0.410,59.593,simulation-based
1,1,3,0719:00_0720:00,85.000,1502.000,1419.000,27.667,0.000,1.005,0.301,59.700,simulation-based
1,1,3,0720:00_0721:00,81.000,1585.000,1500.000,28.333,2.000,1.004,0.262,59.739,simulation-based
1,1,3,0721:00_0722:00,83.000,1669.000,1583.000,28.667,2.000,1.006,0.373,59.629,simulation-based
1,1,3,0722:00_0723:00,85.000,1752.000,1668.000,28.000,1.000,1.006,0.337,59.665,simulation-based
1,1,3,0723:00_0724:00,83.000,1835.000,1751.000,28.000,1.000,1.007,0.417,59.586,simulation-based
1,1,3,0724:00_0725:00,84.000,1919.000,1835.000,28.000,0.000,1.004,0.253,59.748,simulation-based
1,1,3,0725:00_0726:00,81.000,2002.000,1916.000,28.667,3.000,1.033,1.952,58.110,simulation-based
1,1,3,0726:00_0727:00,86.000,2085.000,2002.000,27.667,0.000,1.030,1.810,58.243,simulation-based
1,1,3,0727:00_0728:00,78.000,2169.000,2080.000,29.667,5.000,1.007,0.422,59.581,simulation-based
1,1,3,0728:00_0729:00,88.000,2252.000,2168.000,28.000,1.000,1.004,0.217,59.784,simulation-based
1,1,3,0729:00_0730:00,84.000,2335.000,2252.000,27.667,0.000,1.009,0.560,59.446,simulation-based
1,1,3,0730:00_0731:00,83.000,2419.000,2335.000,28.000,0.000,1.011,0.687,59.321,simulation-based
1,1,3,0731:00_0732:00,80.000,2502.000,2415.000,29.000,4.000,1.005,0.289,59.712,simulation-based
1,1,3,0732:00_0733:00,87.000,2585.000,2502.000,27.667,0.000,1.003,0.179,59.822,simulation-based
1,1,3,0733:00_0734:00,83.000,2669.000,2585.000,28.000,0.000,1.008,0.506,59.498,simulation-based
1,1,3,0734:00_0735:00,82.000,2752.000,2667.000,28.333,2.000,1.009,0.530,59.475,simulation-based
1,1,3,0735:00_0736:00,85.000,2835.000,2752.000,27.667,0.000,1.016,0.976,59.039,simulation-based
1,1,3,0736:00_0737:00,81.000,2919.000,2833.000,28.667,2.000,1.037,2.229,57.851,simulation-based
1,1,3,0737:00_0738:00,84.000,3002.000,2917.000,28.333,2.000,1.009,0.542,59.463,simulation-based
1,1,3,0738:00_0739:00,83.000,3085.000,3000.000,28.333,2.000,1.003,0.202,59.798,simulation-based
1,1,3,0739:00_0740:00,85.000,3169.000,3085.000,28.000,0.000,1.004,0.265,59.736,simulation-based
1,1,3,0740:00_0741:00,82.000,3252.000,3167.000,28.333,2.000,1.007,0.446,59.558,simulation-based
1,1,3,0741:00_0742:00,84.000,3335.000,3251.000,28.000,1.000,1.008,0.452,59.551,simulation-based
1,1,3,0742:00_0743:00,82.000,3419.000,3333.000,28.667,2.000,1.006,0.386,59.617,simulation-based
1,1,3,0743:00_0744:00,84.000,3502.000,3417.000,28.333,2.000,1.008,0.482,59.522,simulation-based
1,1,3,0744:00_0745:00,85.000,3585.000,3502.000,27.667,0.000,1.004,0.214,59.786,simulation-based
1,1,3,0745:00_0746:00,83.000,3669.000,3585.000,28.000,0.000,1.005,0.301,59.700,simulation-based
1,1,3,0746:00_0747:00,84.000,3752.000,3669.000,27.667,0.000,1.006,0.361,59.641,simulation-based
1,1,3,0747:00_0748:00,82.000,3835.000,3751.000,28.000,1.000,1.010,0.571,59.434,simulation-based
1,1,3,0748:00_0749:00,82.000,3919.000,3833.000,28.667,2.000,1.020,1.205,58.819,simulation-based
1,1,3,0749:00_0750:00,86.000,4002.000,3919.000,27.667,0.000,1.004,0.241,59.760,simulation-based
1,1,3,0750:00_0751:00,83.000,4085.000,4002.000,27.667,0.000,1.003,0.155,59.846,simulation-based
1,1,3,0751:00_0752:00,83.000,4169.000,4085.000,28.000,0.000,1.010,0.578,59.427,simulation-based
1,1,3,0752:00_0753:00,83.000,4252.000,4168.000,28.000,1.000,1.009,0.518,59.486,simulation-based
1,1,3,0753:00_0754:00,83.000,4335.000,4251.000,28.000,1.000,1.006,0.345,59.657,simulation-based
1,1,3,0754:00_0755:00,84.000,4419.000,4335.000,28.000,0.000,1.005,0.277,59.724,simulation-based
1,1,3,0755:00_0756:00,83.000,4502.000,4418.000,28.000,1.000,1.024,1.458,58.577,simulation-based
1,1,3,0756:00_0757:00,83.000,4585.000,4501.000,28.000,1.000,1.004,0.250,59.751,simulation-based
1,1,3,0757:00_0758:00,84.000,4669.000,4585.000,28.000,0.000,1.017,1.000,59.016,simulation-based
1,1,3,0758:00_0759:00,83.000,4752.000,4668.000,28.000,1.000,1.095,5.687,54.806,simulation-based
1,1,3,0759:00_0800:00,79.000,4835.000,4747.000,29.333,5.000,1.000,0.000,60.000,simulation-based
1,1,3,0800:00_0801:00,88.000,4919.000,4835.000,28.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0801:00_0802:00,84.000,5000.000,4919.000,27.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0802:00_0803:00,81.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0803:00_0804:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0804:00_0805:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0805:00_0806:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0806:00_0807:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0807:00_0808:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0808:00_0809:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0809:00_0810:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0810:00_0811:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0811:00_0812:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0812:00_0813:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0813:00_0814:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0814:00_0815:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0815:00_0816:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0816:00_0817:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0817:00_0818:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0818:00_0819:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0819:00_0820:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0820:00_0821:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0821:00_0822:00,0.000,5000.000,5000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
