node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1,,-1.074632,409.851895,,,0,"POINT (-1.074632 409.851895)"
2,,400.573763,397.762144,,,0,"POINT (400.573763 397.762144)"
3,,714.907289,397.762144,,,0,"POINT (714.907289 397.762144)"
4,,1031.927427,399.105449,,,0,"POINT (1031.927427 399.105449)"
5,,1252.229557,400.448755,,,0,"POINT (1252.229557 400.448755)"
6,,1432.232516,400.448755,,,0,"POINT (1432.232516 400.448755)"
7,,1812.388020,401.792061,,,0,"POINT (1812.388020 401.792061)"
8,,1633.728366,362.836196,,,0,"POINT (1633.728366 362.836196)"
9,,168.181883,302.387441,,,0,"POINT (168.181883 302.387441)"
10,,295.795921,399.105449,,,0,"POINT (295.795921 399.105449)"
11,,1811.044715,420.598340,,,0,"POINT (1811.044715 420.598340)"
12,,1408.053014,416.568423,,,0,"POINT (1408.053014 416.568423)"
13,,1242.826417,413.881812,,,0,"POINT (1242.826417 413.881812)"
14,,1026.554204,415.225117,,,0,"POINT (1026.554204 415.225117)"
15,,710.877372,412.538506,,,0,"POINT (710.877372 412.538506)"
16,,399.230458,415.225117,,,0,"POINT (399.230458 415.225117)"
17,,293.109310,413.881812,,,0,"POINT (293.109310 413.881812)"
18,,-2.417937,425.971563,,,0,"POINT (-2.417937 425.971563)"
19,,133.255935,503.883291,,,0,"POINT (133.255935 503.883291)"
20,,1549.100109,510.599820,,,0,"POINT (1549.100109 510.599820)"
