link_id,from_node_id,to_node_id,time_period,volume,volume_per_lane,occ,density,speed
108,11,12,0530_0535,447,149,0.0488,10.30656,55.4
108,11,12,0535_0540,447,149,0.05,10.56,55
108,11,12,0540_0545,540,180,0.0614,12.96768,54.9
108,11,12,0545_0550,498,166,0.055,11.616,55.3
108,11,12,0550_0555,555,185,0.0636,13.43232,55.1
108,11,12,0555_0600,570,190,0.0654,13.81248,54.2
108,11,12,0600_0605,723,241,0.0891,18.81792,52.8
108,11,12,0605_0610,618,206,0.0722,15.24864,53
108,11,12,0610_0615,636,212,0.0745,15.7344,52.6
108,11,12,0615_0620,702,234,0.0839,17.71968,52.1
108,11,12,0620_0625,696,232,0.0877,18.52224,51.3
108,11,12,0625_0630,714,238,0.1084,22.89408,46.8
108,11,12,0630_0635,735,245,0.1073,22.66176,45.2
108,11,12,0635_0640,813,271,0.1374,29.01888,41.7
108,11,12,0640_0645,756,252,0.134,28.3008,39.1
108,11,12,0645_0650,801,267,0.1351,28.53312,37.9
108,11,12,0650_0655,750,250,0.1013,21.39456,40.5
108,11,12,0655_0700,786,262,0.1065,22.4928,42.5
108,11,12,0700_0705,723,241,0.102,21.5424,42.7
108,11,12,0705_0710,696,232,0.0991,20.92992,42.8
108,11,12,0710_0715,789,263,0.1163,24.56256,42.2
108,11,12,0715_0720,792,264,0.1235,26.0832,41
108,11,12,0720_0725,756,252,0.1114,23.52768,41.1
108,11,12,0725_0730,804,268,0.1172,24.75264,41.3
108,11,12,0730_0735,738,246,0.114,24.0768,40.6
108,11,12,0735_0740,753,251,0.1324,27.96288,38.4
108,11,12,0740_0745,789,263,0.1265,26.7168,38.3
108,11,12,0745_0750,726,242,0.1137,24.01344,38.7
108,11,12,0750_0755,726,242,0.1087,22.95744,39.3
108,11,12,0755_0800,756,252,0.1072,22.64064,40.7
108,11,12,0800_0805,765,255,0.1133,23.92896,40.9
108,11,12,0805_0810,693,231,0.1,21.12,41.5
108,11,12,0810_0815,711,237,0.1028,21.71136,41.8
108,11,12,0815_0820,705,235,0.1013,21.39456,42
108,11,12,0820_0825,717,239,0.1088,22.97856,41.7
108,11,12,0825_0830,699,233,0.1137,24.01344,40.3
108,11,12,0830_0835,699,233,0.1101,23.25312,39.8
108,11,12,0835_0840,693,231,0.1139,24.05568,39
108,11,12,0840_0845,759,253,0.1217,25.70304,38.7
108,11,12,0845_0850,657,219,0.1062,22.42944,38.5
108,11,12,0850_0855,729,243,0.1154,24.37248,38.8
108,11,12,0855_0900,663,221,0.103,21.7536,38.8
108,11,12,0900_0905,675,225,0.0996,21.03552,39.9
108,11,12,0905_0910,615,205,0.0955,20.1696,40.2
108,11,12,0910_0915,666,222,0.1099,23.21088,39.5
108,11,12,0915_0920,606,202,0.104,21.9648,38.5
108,11,12,0920_0925,588,196,0.1081,22.83072,36.6
108,11,12,0925_0930,621,207,0.1305,27.5616,34.9
108,11,12,0930_0935,585,195,0.0935,19.7472,35.6
108,11,12,0935_0940,630,210,0.1073,22.66176,36.8
108,11,12,0940_0945,597,199,0.133,28.0896,34.2
108,11,12,0945_0950,576,192,0.1405,29.6736,31.6
108,11,12,0950_0955,612,204,0.1004,21.20448,33.6
108,11,12,0955_1000,606,202,0.0856,18.07872,37.2
108,11,12,1000_1005,585,195,0.0772,16.30464,41.4
108,11,12,1005_1010,609,203,0.0736,15.54432,44.6
108,11,12,1010_1015,534,178,0.068,14.3616,46.1
108,11,12,1015_1020,513,171,0.0659,13.91808,46.4
108,11,12,1020_1025,549,183,0.0711,15.01632,48
108,11,12,1025_1030,666,222,0.0846,17.86752,48.7
108,11,12,1030_1035,597,199,0.076,16.0512,48.8
108,11,12,1035_1040,675,225,0.0796,16.81152,49.9
108,11,12,1040_1045,621,207,0.0732,15.45984,50.7
108,11,12,1045_1050,564,188,0.0715,15.1008,50.4
108,11,12,1050_1055,588,196,0.0729,15.39648,49.9
108,11,12,1055_1100,528,176,0.0647,13.66464,51
108,11,12,1100_1105,528,176,0.0629,13.28448,51.2
108,11,12,1105_1110,519,173,0.0645,13.6224,51.1
108,11,12,1110_1115,552,184,0.0711,15.01632,50.7
108,11,12,1115_1120,537,179,0.0664,14.02368,51.4
108,11,12,1120_1125,543,181,0.0697,14.72064,49.8
108,11,12,1125_1130,516,172,0.0668,14.10816,49.8
108,11,12,1130_1135,549,183,0.0677,14.29824,50.3
108,11,12,1135_1140,561,187,0.07,14.784,50
108,11,12,1140_1145,543,181,0.064,13.5168,51.2
108,11,12,1145_1150,597,199,0.0823,17.38176,49.2
108,11,12,1150_1155,633,211,0.083,17.5296,48.9
108,11,12,1155_1200,504,168,0.0666,14.06592,49
108,11,12,1200_1205,570,190,0.0704,14.86848,49.4
108,11,12,1205_1210,558,186,0.0679,14.34048,50.4
108,11,12,1210_1215,546,182,0.07,14.784,49
108,11,12,1215_1220,558,186,0.0695,14.6784,49.9
108,11,12,1220_1225,594,198,0.0729,15.39648,50.2
108,11,12,1225_1230,534,178,0.0653,13.79136,50.8
108,11,12,1230_1235,615,205,0.0813,17.17056,49.5
108,11,12,1235_1240,492,164,0.0604,12.75648,49.8
108,11,12,1240_1245,609,203,0.0736,15.54432,50.2
108,11,12,1245_1250,630,210,0.077,16.2624,50.2
108,11,12,1250_1255,603,201,0.0749,15.81888,50.5
108,11,12,1255_1300,573,191,0.0705,14.8896,50.3
108,11,12,1300_1305,546,182,0.066,13.9392,50
108,11,12,1305_1310,564,188,0.0711,15.01632,50.3
108,11,12,1310_1315,543,181,0.0668,14.10816,50.3
108,11,12,1315_1320,555,185,0.0735,15.5232,49.3
108,11,12,1320_1325,609,203,0.079,16.6848,49.2
108,11,12,1325_1330,588,196,0.073,15.4176,49
108,11,12,1330_1335,627,209,0.0887,18.73344,47.3
108,11,12,1335_1340,591,197,0.0771,16.28352,47.5
108,11,12,1340_1345,648,216,0.0804,16.98048,48.1
108,11,12,1345_1350,594,198,0.0715,15.1008,49.1
108,11,12,1350_1355,549,183,0.0648,13.68576,50.1
108,11,12,1355_1400,567,189,0.0684,14.44608,51
108,11,12,1400_1405,570,190,0.0668,14.10816,51.5
108,11,12,1405_1410,543,181,0.0643,13.58016,52.1
108,11,12,1410_1415,624,208,0.0783,16.53696,51.2
108,11,12,1415_1420,681,227,0.0847,17.88864,50.6
108,11,12,1420_1425,603,201,0.0738,15.58656,50.7
108,11,12,1425_1430,567,189,0.07,14.784,50.6
108,11,12,1430_1435,597,199,0.0741,15.64992,50.3
108,11,12,1435_1440,645,215,0.0789,16.66368,50.8
108,11,12,1440_1445,576,192,0.069,14.5728,50.8
108,11,12,1445_1450,627,209,0.0775,16.368,50.4
108,11,12,1450_1455,570,190,0.0703,14.84736,50.4
108,11,12,1455_1500,540,180,0.065,13.728,50.1
108,11,12,1500_1505,552,184,0.064,13.5168,50.4
108,11,12,1505_1510,522,174,0.0653,13.79136,50
108,11,12,1510_1515,612,204,0.074,15.6288,50.3
108,11,12,1515_1520,612,204,0.074,15.6288,50.6
108,11,12,1520_1525,600,200,0.0744,15.71328,50
108,11,12,1525_1530,525,175,0.0707,14.93184,48.4
108,11,12,1530_1535,609,203,0.0788,16.64256,48.2
108,11,12,1535_1540,606,202,0.0787,16.62144,47.7
108,11,12,1540_1545,612,204,0.0827,17.46624,47
108,11,12,1545_1550,558,186,0.141,29.7792,40.4
108,11,12,1550_1555,633,211,0.0954,20.14848,40.5
108,11,12,1555_1600,507,169,0.0664,14.02368,42.3
108,11,12,1600_1605,516,172,0.0647,13.66464,44.5
108,11,12,1605_1610,555,185,0.0722,15.24864,45.2
108,11,12,1610_1615,579,193,0.0724,15.29088,46.3
108,11,12,1615_1620,597,199,0.0743,15.69216,47.2
108,11,12,1620_1625,570,190,0.0697,14.72064,48.1
108,11,12,1625_1630,555,185,0.0707,14.93184,48
108,11,12,1630_1635,528,176,0.0612,12.92544,49.6
108,11,12,1635_1640,546,182,0.0657,13.87584,49.8
108,11,12,1640_1645,297,99,0.0365,7.7088,49.7
108,11,12,1645_1650,555,185,0.0805,17.0016,47.3
108,11,12,1650_1655,588,196,0.0749,15.81888,47.5
108,11,12,1655_1700,531,177,0.0668,14.10816,48.1
108,11,12,1700_1705,450,150,0.0524,11.06688,49
108,11,12,1705_1710,510,170,0.0597,12.60864,50
108,11,12,1710_1715,363,121,0.0416,8.78592,50.6
108,11,12,1715_1720,483,161,0.0573,12.10176,50.8
108,11,12,1720_1725,549,183,0.0703,14.84736,49.8
108,11,12,1725_1730,543,181,0.0716,15.12192,48.9
108,11,12,1730_1735,543,181,0.0671,14.17152,49
108,11,12,1735_1740,501,167,0.0609,12.86208,49.4
108,11,12,1740_1745,552,184,0.0695,14.6784,48.9
108,11,12,1745_1750,555,185,0.0665,14.0448,49.5
108,11,12,1750_1755,414,138,0.0473,9.98976,50.6
108,11,12,1755_1800,483,161,0.0557,11.76384,51.2
108,11,12,1800_1805,471,157,0.0553,11.67936,51.4
108,11,12,1805_1810,480,160,0.0556,11.74272,51.8
108,11,12,1810_1815,489,163,0.0588,12.41856,51.4
108,11,12,1815_1820,468,156,0.0546,11.53152,51.5
108,11,12,1820_1825,444,148,0.051,10.7712,52.1
108,11,12,1825_1830,453,151,0.052,10.9824,52.6
108,11,12,1830_1835,432,144,0.0479,10.11648,53.3
108,11,12,1835_1840,468,156,0.0538,11.36256,52.8
108,11,12,1840_1845,450,150,0.0504,10.64448,53.2
108,11,12,1845_1850,420,140,0.0468,9.88416,53.7
108,11,12,1850_1855,483,161,0.0574,12.12288,53
108,11,12,1855_1900,408,136,0.0473,9.98976,53
108,11,12,1900_1905,360,120,0.0407,8.59584,53.9
108,11,12,1905_1910,324,108,0.0367,7.75104,53.8
108,11,12,1910_1915,438,146,0.0496,10.47552,54
108,11,12,1915_1920,411,137,0.0451,9.52512,54.5
108,11,12,1920_1925,429,143,0.0492,10.39104,54.1
108,11,12,1925_1930,396,132,0.0435,9.1872,54.2
108,11,12,1930_1935,375,125,0.042,8.8704,54.6
108,11,12,1935_1940,396,132,0.044,9.2928,55.4
108,11,12,1940_1945,318,106,0.0337,7.11744,55.3
108,11,12,1945_1950,360,120,0.0412,8.70144,54.8
108,11,12,1950_1955,342,114,0.0356,7.51872,55.9
108,11,12,1955_2000,375,125,0.0428,9.03936,55.1
108,11,12,2000_2005,300,100,0.0324,6.84288,55.2
108,11,12,2005_2010,288,96,0.0324,6.84288,55.2
108,11,12,2010_2015,300,100,0.0333,7.03296,55.7
108,11,12,2015_2020,294,98,0.0341,7.20192,55.1
108,11,12,2020_2025,294,98,0.0327,6.90624,55.6
108,11,12,2025_2030,318,106,0.0341,7.20192,55.7
108,11,12,2030_2035,297,99,0.0311,6.56832,56.5
108,11,12,2035_2040,273,91,0.0296,6.25152,56.5
108,11,12,2040_2045,273,91,0.0294,6.20928,56.2
108,11,12,2045_2050,306,102,0.0351,7.41312,56.3
108,11,12,2050_2055,261,87,0.0287,6.06144,55.7
108,11,12,2055_2100,261,87,0.0292,6.16704,55.7
108,11,12,2100_2105,282,94,0.0308,6.50496,56
108,11,12,2105_2110,315,105,0.0326,6.88512,56.9
108,11,12,2110_2115,330,110,0.0381,8.04672,56
108,11,12,2115_2120,282,94,0.0311,6.56832,56
108,11,12,2120_2125,291,97,0.0325,6.864,56.1
108,11,12,2125_2130,297,99,0.0314,6.63168,55.7
108,11,12,2130_2135,297,99,0.0341,7.20192,56.1
108,11,12,2135_2140,291,97,0.0327,6.90624,55.6
108,11,12,2140_2145,315,105,0.0336,7.09632,55.8
108,11,12,2145_2150,258,86,0.0269,5.68128,56.3
108,11,12,2150_2155,285,95,0.0323,6.82176,55.9
108,11,12,2155_2200,261,87,0.0285,6.0192,55.6
108,11,12,2200_2205,273,91,0.0311,6.56832,56.1
108,11,12,2205_2210,258,86,0.0288,6.08256,55.6
108,11,12,2210_2215,249,83,0.0267,5.63904,56
108,11,12,2215_2220,225,75,0.0229,4.83648,57
108,11,12,2220_2225,243,81,0.0267,5.63904,57
108,11,12,2225_2230,222,74,0.0257,5.42784,56.8
108,11,12,2230_2235,216,72,0.0226,4.77312,57.4
108,11,12,2235_2240,201,67,0.0237,5.00544,56.2
108,11,12,2240_2245,240,80,0.0263,5.55456,56.8
108,11,12,2245_2250,198,66,0.0223,4.70976,55.4
108,11,12,2250_2255,162,54,0.0174,3.67488,56.6
108,11,12,2255_2300,159,53,0.0173,3.65376,56.4
108,11,12,2300_2305,117,39,0.0111,2.34432,57.6
108,11,12,2305_2310,135,45,0.0145,3.0624,56.5
108,11,12,2310_2315,141,47,0.0141,2.97792,57
108,11,12,2315_2320,138,46,0.0168,3.54816,55.5
108,11,12,2320_2325,138,46,0.0148,3.12576,56.7
108,11,12,2325_2330,120,40,0.0128,2.70336,57.1
108,11,12,2330_2335,99,33,0.0102,2.15424,56.9
108,11,12,2335_2340,111,37,0.0126,2.66112,56.7
108,11,12,2340_2345,96,32,0.0097,2.04864,56.5
108,11,12,2345_2350,90,30,0.0091,1.92192,57.4
108,11,12,2350_2355,93,31,0.0106,2.23872,56.9
108,11,12,2355_2400,84,28,0.0095,2.0064,57.1
109,12,13,0000_0005,102,34,0.0116,2.44992,72
109,12,13,0005_0010,102,34,0.0088,1.85856,71.9
109,12,13,0010_0015,93,31,0.0071,1.49952,71.7
109,12,13,0015_0020,93,31,0.0087,1.83744,71.2
109,12,13,0020_0025,84,28,0.0073,1.54176,71.3
109,12,13,0025_0030,57,19,0.0059,1.24608,69.6
109,12,13,0030_0035,66,22,0.0057,1.20384,69.9
109,12,13,0035_0040,69,23,0.0063,1.33056,69.4
109,12,13,0040_0045,72,24,0.006,1.2672,70.2
109,12,13,0045_0050,54,18,0.0043,0.90816,70.6
109,12,13,0050_0055,48,16,0.004,0.8448,71.3
109,12,13,0055_0100,18,6,0.0014,0.29568,72.7
109,12,13,0100_0105,45,15,0.0047,0.99264,69.7
109,12,13,0105_0110,54,18,0.005,1.056,71.2
109,12,13,0110_0115,39,13,0.0035,0.7392,69.4
109,12,13,0115_0120,51,17,0.004,0.8448,69.7
109,12,13,0120_0125,39,13,0.0045,0.9504,70.9
109,12,13,0125_0130,51,17,0.0071,1.49952,69.6
109,12,13,0130_0135,54,18,0.0047,0.99264,69.5
109,12,13,0135_0140,45,15,0.0045,0.9504,70.3
109,12,13,0140_0145,39,13,0.0027,0.57024,71.7
109,12,13,0145_0150,9,3,0.0008,0.16896,69.5
109,12,13,0150_0155,48,16,0.0045,0.9504,70
109,12,13,0155_0200,33,11,0.0032,0.67584,69.3
109,12,13,0200_0205,24,8,0.0023,0.48576,69.7
109,12,13,0205_0210,21,7,0.0022,0.46464,69.7
109,12,13,0210_0215,30,10,0.0028,0.59136,67.6
109,12,13,0215_0220,42,14,0.0044,0.92928,69.9
109,12,13,0220_0225,36,12,0.0042,0.88704,67.5
109,12,13,0225_0230,24,8,0.0033,0.69696,68.2
109,12,13,0230_0235,27,9,0.0022,0.46464,67.3
109,12,13,0235_0240,15,5,0.0015,0.3168,68.6
109,12,13,0240_0245,12,4,0.001,0.2112,68.8
109,12,13,0245_0250,45,15,0.0048,1.01376,68
109,12,13,0250_0255,51,17,0.0044,0.92928,69.2
109,12,13,0255_0300,45,15,0.0053,1.11936,67
109,12,13,0300_0305,36,12,0.0037,0.78144,66.2
109,12,13,0305_0310,36,12,0.0035,0.7392,67.9
109,12,13,0310_0315,51,17,0.0062,1.30944,66.2
109,12,13,0315_0320,45,15,0.0056,1.18272,67
109,12,13,0320_0325,54,18,0.0045,0.9504,64.6
109,12,13,0325_0330,48,16,0.0042,0.88704,65.7
109,12,13,0330_0335,21,7,0.0026,0.54912,66.5
109,12,13,0335_0340,0,0,0,0,67.5
109,12,13,0340_0345,0,0,0,0,67.5
109,12,13,0345_0350,0,0,0,0,67.5
109,12,13,0350_0355,0,0,0,0,67.5
109,12,13,0355_0400,0,0,0,0,67.5
109,12,13,0400_0405,0,0,0,0,67.5
109,12,13,0405_0410,0,0,0,0,67.5
109,12,13,0410_0415,0,0,0,0,67.5
109,12,13,0415_0420,24,8,0.0024,0.50688,70.1
109,12,13,0420_0425,96,32,0.011,2.3232,65.1
109,12,13,0425_0430,138,46,0.0148,3.12576,64.4
109,12,13,0430_0435,171,57,0.0158,3.33696,65.8
109,12,13,0435_0440,48,16,0.0051,1.07712,66.6
109,12,13,0440_0445,162,54,0.0178,3.75936,63.3
109,12,13,0445_0450,162,54,0.0169,3.56928,63.1
109,12,13,0450_0455,231,77,0.0245,5.1744,61.7
109,12,13,0455_0500,207,69,0.0194,4.09728,62.8
109,12,13,0500_0505,228,76,0.0213,4.49856,61.6
109,12,13,0505_0510,207,69,0.0211,4.45632,61.1
109,12,13,0510_0515,201,67,0.0193,4.07616,60.4
109,12,13,0515_0520,219,73,0.0212,4.47744,60.5
109,12,13,0520_0525,342,114,0.0341,7.20192,60.8
109,12,13,0525_0530,357,119,0.0361,7.62432,59.7
109,12,13,0530_0535,420,140,0.0393,8.30016,60.6
109,12,13,0535_0540,438,146,0.0435,9.1872,60.2
109,12,13,0540_0545,513,171,0.0525,11.088,59.6
109,12,13,0545_0550,471,157,0.046,9.7152,60
109,12,13,0550_0555,498,166,0.0524,11.06688,59
109,12,13,0555_0600,561,187,0.0583,12.31296,58.1
109,12,13,0600_0605,666,222,0.072,15.2064,57
109,12,13,0605_0610,606,202,0.0623,13.15776,57.2
109,12,13,0610_0615,600,200,0.0634,13.39008,56.6
109,12,13,0615_0620,663,221,0.0718,15.16416,55.7
109,12,13,0620_0625,657,219,0.0757,15.98784,54
109,12,13,0625_0630,681,227,0.0896,18.92352,50.5
109,12,13,0630_0635,672,224,0.0965,20.3808,47.3
109,12,13,0635_0640,786,262,0.1233,26.04096,43.7
109,12,13,0640_0645,729,243,0.1088,22.97856,42.3
109,12,13,0645_0650,729,243,0.0964,20.35968,43.2
109,12,13,0650_0655,705,235,0.0837,17.67744,45.6
109,12,13,0655_0700,747,249,0.0858,18.12096,48.3
109,12,13,0700_0705,666,222,0.0807,17.04384,48.5
109,12,13,0705_0710,648,216,0.0779,16.45248,48.8
109,12,13,0710_0715,750,250,0.0938,19.81056,48.4
109,12,13,0715_0720,735,245,0.1036,21.88032,46.1
109,12,13,0720_0725,687,229,0.1036,21.88032,43.9
109,12,13,0725_0730,735,245,0.1111,23.46432,42.2
109,12,13,0730_0735,699,233,0.0836,17.65632,45
109,12,13,0735_0740,702,234,0.0953,20.12736,44.7
109,12,13,0740_0745,723,241,0.1001,21.14112,44
109,12,13,0745_0750,678,226,0.0965,20.3808,43.7
109,12,13,0750_0755,630,210,0.0806,17.02272,44.5
109,12,13,0755_0800,678,226,0.0817,17.25504,46.3
109,12,13,0800_0805,711,237,0.0849,17.93088,47.7
109,12,13,0805_0810,651,217,0.0801,16.91712,48.4
109,12,13,0810_0815,636,212,0.0776,16.38912,48.7
109,12,13,0815_0820,606,202,0.0749,15.81888,48.6
109,12,13,0820_0825,645,215,0.0788,16.64256,49.2
109,12,13,0825_0830,639,213,0.0884,18.67008,47.6
109,12,13,0830_0835,651,217,0.0847,17.88864,47.4
109,12,13,0835_0840,636,212,0.088,18.5856,46.3
109,12,13,0840_0845,696,232,0.0911,19.24032,46.4
109,12,13,0845_0850,594,198,0.0774,16.34688,46.4
109,12,13,0850_0855,642,214,0.0824,17.40288,47
109,12,13,0855_0900,582,194,0.0784,16.55808,46.2
109,12,13,0900_0905,612,204,0.0944,19.93728,44.2
109,12,13,0905_0910,552,184,0.068,14.3616,46.3
109,12,13,0910_0915,570,190,0.0771,16.28352,46.6
109,12,13,0915_0920,513,171,0.0803,16.95936,44.8
109,12,13,0920_0925,570,190,0.0873,18.43776,42.9
109,12,13,0925_0930,489,163,0.0798,16.85376,41.9
109,12,13,0930_0935,537,179,0.0706,14.91072,43.1
109,12,13,0935_0940,564,188,0.0958,20.23296,42
109,12,13,0940_0945,528,176,0.1166,24.62592,38.7
109,12,13,0945_0950,519,173,0.0925,19.536,37.7
109,12,13,0950_0955,540,180,0.0715,15.1008,40.2
109,12,13,0955_1000,573,191,0.0676,14.27712,44.6
109,12,13,1000_1005,543,181,0.0633,13.36896,47.6
109,12,13,1005_1010,549,183,0.0581,12.27072,51.7
109,12,13,1010_1015,471,157,0.0521,11.00352,53
109,12,13,1015_1020,486,162,0.0531,11.21472,53.6
109,12,13,1020_1025,513,171,0.0563,11.89056,55.4
109,12,13,1025_1030,594,198,0.0653,13.79136,56.3
109,12,13,1030_1035,552,184,0.0601,12.69312,56.5
109,12,13,1035_1040,612,204,0.0636,13.43232,57.4
109,12,13,1040_1045,549,183,0.0559,11.80608,58.4
109,12,13,1045_1050,525,175,0.0572,12.08064,57.9
109,12,13,1050_1055,531,177,0.058,12.2496,57.6
109,12,13,1055_1100,498,166,0.0539,11.38368,58
109,12,13,1100_1105,504,168,0.0527,11.13024,58.2
109,12,13,1105_1110,348,116,0.042,8.8704,56.8
109,12,13,1110_1115,381,127,0.0489,10.32768,56.4
109,12,13,1115_1120,495,165,0.0547,11.55264,56.6
109,12,13,1120_1125,477,159,0.0526,11.10912,56.5
109,12,13,1125_1130,495,165,0.0568,11.99616,55.7
109,12,13,1130_1135,480,160,0.052,10.9824,56.9
109,12,13,1135_1140,525,175,0.0571,12.05952,56.3
109,12,13,1140_1145,507,169,0.0538,11.36256,57.9
109,12,13,1145_1150,546,182,0.0648,13.68576,56.3
109,12,13,1150_1155,543,181,0.0603,12.73536,55.7
109,12,13,1155_1200,420,140,0.0488,10.30656,55.7
109,12,13,1200_1205,489,163,0.0549,11.59488,56.4
109,12,13,1205_1210,459,153,0.0481,10.15872,57.4
109,12,13,1210_1215,498,166,0.0551,11.63712,56.3
109,12,13,1215_1220,504,168,0.0555,11.7216,56.6
109,12,13,1220_1225,537,179,0.0577,12.18624,56.5
109,12,13,1225_1230,480,160,0.0512,10.81344,57.6
109,12,13,1230_1235,528,176,0.0629,13.28448,56.3
109,12,13,1235_1240,450,150,0.048,10.1376,56.8
109,12,13,1240_1245,549,183,0.0561,11.84832,57.9
109,12,13,1245_1250,519,173,0.0534,11.27808,58.5
109,12,13,1250_1255,537,179,0.0573,12.10176,58.6
109,12,13,1255_1300,495,165,0.0524,11.06688,58.7
109,12,13,1300_1305,492,164,0.0496,10.47552,58.6
109,12,13,1305_1310,510,170,0.0563,11.89056,58.6
109,12,13,1310_1315,495,165,0.053,11.1936,58.4
109,12,13,1315_1320,486,162,0.0553,11.67936,57.7
109,12,13,1320_1325,468,156,0.0585,12.3552,55.7
109,12,13,1325_1330,531,177,0.0567,11.97504,56.3
109,12,13,1330_1335,483,161,0.0689,14.55168,52.6
109,12,13,1335_1340,525,175,0.0628,13.26336,51.9
109,12,13,1340_1345,582,194,0.0617,13.03104,53.9
109,12,13,1345_1350,546,182,0.0609,12.86208,54.2
109,12,13,1350_1355,489,163,0.0491,10.36992,56.2
109,12,13,1355_1400,507,169,0.0543,11.46816,57.1
109,12,13,1400_1405,513,171,0.0524,11.06688,58.7
109,12,13,1405_1410,513,171,0.0528,11.15136,59.3
109,12,13,1410_1415,573,191,0.062,13.0944,58.6
109,12,13,1415_1420,489,163,0.0527,11.13024,58.1
109,12,13,1420_1425,534,178,0.0578,12.20736,57.9
109,12,13,1425_1430,468,156,0.0564,11.91168,56.9
109,12,13,1430_1435,525,175,0.0544,11.48928,57.1
109,12,13,1435_1440,603,201,0.0651,13.74912,57.8
109,12,13,1440_1445,531,177,0.0554,11.70048,57.8
109,12,13,1445_1450,525,175,0.0541,11.42592,58.4
109,12,13,1450_1455,522,174,0.057,12.0384,58
109,12,13,1455_1500,468,156,0.0507,10.70784,57
109,12,13,1500_1505,498,166,0.0489,10.32768,57.9
109,12,13,1505_1510,462,154,0.0504,10.64448,57.7
109,12,13,1510_1515,528,176,0.0562,11.86944,57.6
109,12,13,1515_1520,540,180,0.0559,11.80608,58.1
109,12,13,1520_1525,486,162,0.0553,11.67936,56.7
