link_id,from_node_id,to_node_id,time_period,volume,volume_per_lane,occ,density,speed
108,11,12,0000_0005,120,40,0.0134,2.83008,71.6
108,11,12,0005_0010,108,36,0.0112,2.36544,70.4
108,11,12,0010_0015,93,31,0.0091,1.92192,69.9
108,11,12,0015_0020,93,31,0.0103,2.17536,68.2
108,11,12,0020_0025,87,29,0.0089,1.87968,67.5
108,11,12,0025_0030,69,23,0.0078,1.64736,66.2
108,11,12,0030_0035,66,22,0.0075,1.584,65.4
108,11,12,0035_0040,57,19,0.0058,1.22496,65.2
108,11,12,0040_0045,69,23,0.0071,1.49952,65.9
108,11,12,0045_0050,60,20,0.005,1.056,65.4
108,11,12,0050_0055,69,23,0.008,1.6896,65
108,11,12,0055_0100,63,21,0.0063,1.33056,64.9
108,11,12,0100_0105,54,18,0.0057,1.20384,64.3
108,11,12,0105_0110,54,18,0.007,1.4784,64
108,11,12,0110_0115,48,16,0.0047,0.99264,62.2
108,11,12,0115_0120,45,15,0.0041,0.86592,63.1
108,11,12,0120_0125,48,16,0.0066,1.39392,64.1
108,11,12,0125_0130,48,16,0.0076,1.60512,62.5
108,11,12,0130_0135,63,21,0.0059,1.24608,63
108,11,12,0135_0140,45,15,0.0058,1.22496,62.7
108,11,12,0140_0145,45,15,0.005,1.056,61.7
108,11,12,0145_0150,36,12,0.0048,1.01376,60.7
108,11,12,0150_0155,48,16,0.0055,1.1616,62.2
108,11,12,0155_0200,27,9,0.0024,0.50688,61.7
108,11,12,0200_0205,33,11,0.0035,0.7392,60.8
108,11,12,0205_0210,39,13,0.0057,1.20384,60
108,11,12,0210_0215,24,8,0.0028,0.59136,58.8
108,11,12,0215_0220,48,16,0.0045,0.9504,62.5
108,11,12,0220_0225,33,11,0.0047,0.99264,58.5
108,11,12,0225_0230,36,12,0.0053,1.11936,59.9
108,11,12,0230_0235,27,9,0.003,0.6336,59
108,11,12,0235_0240,36,12,0.0052,1.09824,58.5
108,11,12,0240_0245,60,20,0.0057,1.20384,62.7
108,11,12,0245_0250,39,13,0.0045,0.9504,59.7
108,11,12,0250_0255,48,16,0.005,1.056,61.1
108,11,12,0255_0300,51,17,0.0062,1.30944,59.5
108,11,12,0300_0305,39,13,0.0049,1.03488,59.8
108,11,12,0305_0310,39,13,0.0043,0.90816,60
108,11,12,0310_0315,48,16,0.0064,1.35168,60
108,11,12,0315_0320,51,17,0.0072,1.52064,59.8
108,11,12,0320_0325,51,17,0.0059,1.24608,57.4
108,11,12,0325_0330,54,18,0.0058,1.22496,59.8
108,11,12,0330_0335,42,14,0.005,1.056,60
108,11,12,0335_0340,0,0,0,0,63.2
108,11,12,0340_0345,0,0,0,0,63.2
108,11,12,0345_0350,0,0,0,0,63.2
108,11,12,0350_0355,0,0,0,0,63.2
108,11,12,0355_0400,0,0,0,0,63.2
108,11,12,0400_0405,0,0,0,0,63.2
108,11,12,0405_0410,0,0,0,0,63.2
108,11,12,0410_0415,0,0,0,0,63.2
108,11,12,0415_0420,24,8,0.0036,0.76032,66.9
108,11,12,0420_0425,132,44,0.0172,3.63264,60
108,11,12,0425_0430,126,42,0.0152,3.21024,59.2
108,11,12,0430_0435,180,60,0.02,4.224,60.7
108,11,12,0435_0440,171,57,0.0203,4.28736,59.5
108,11,12,0440_0445,189,63,0.0217,4.58304,58.2
108,11,12,0445_0450,177,59,0.0217,4.58304,57
108,11,12,0450_0455,243,81,0.0283,5.97696,56.5
108,11,12,0455_0500,231,77,0.0244,5.15328,58.5
108,11,12,0500_0505,258,86,0.028,5.9136,57
108,11,12,0505_0510,246,82,0.0291,6.14592,56.2
108,11,12,0510_0515,318,106,0.0357,7.53984,55.1
108,11,12,0515_0520,309,103,0.0341,7.20192,55.2
108,11,12,0520_0525,354,118,0.0383,8.08896,56
108,11,12,0525_0530,393,131,0.0449,9.48288,55.2
