node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id
1,,-111.94198,33.40662,,,,1
2,,-111.96529,33.42311,,,,2
3,,-111.92636,33.38616,,,,-1
4,,-111.88771,33.38121,,,,3
5,,-111.88804,33.381,,,,4
6,,-111.92787,33.42027,,,,5
7,,-111.88847,33.38056,,,,6
8,,-111.97856,33.42084,,,,-1
9,,-111.88506,33.40244,,,,7
10,,-111.88744,33.42027,,,,8
11,,-111.88628,33.42027,,,,9
12,,-111.94058,33.38326,,,,-1
13,,-111.95301,33.42192,,,,-1
14,,-111.94063,33.38074,,,,-1
15,,-111.94126,33.42193,,,,10
16,,-111.94306,33.42967,,,,-1
17,,-111.94124,33.41905,,,,11
18,,-111.94123,33.41762,,,,12
19,,-111.89582,33.38665,,,,13
20,,-111.94121,33.4162,,,,14
21,,-111.94119,33.41474,,,,15
22,,-111.89874,33.4257,,,,-1
23,,-111.89703,33.4257,,,,-1
24,,-111.89532,33.42569,,,,-1
25,,-111.9217,33.40414,,,,16
26,,-111.89357,33.42569,,,,-1
27,,-111.96079,33.40623,,,,-1
28,,-111.8919,33.42569,,,,-1
29,,-111.95143,33.41382,,,,17
30,,-111.91612,33.40221,,,,18
31,,-111.89023,33.4257,,,,19
32,,-111.94784,33.40557,,,,20
33,,-111.95044,33.41214,,,,21
34,,-111.91203,33.40269,,,,22
35,,-111.92101,33.40444,,,,23
36,,-111.97822,33.43673,,,,-1
37,,-111.91115,33.40269,,,,24
38,,-111.93731,33.39924,,,,25
39,,-111.95088,33.40983,,,,26
40,,-111.98082,33.39262,,,,27
41,,-111.98306,33.3926,,,,28
42,,-111.92963,33.39737,,,,29
43,,-111.91712,33.41363,,,,30
44,,-111.96521,33.42348,,,,31
45,,-111.8937,33.40129,,,,32
46,,-111.89607,33.38124,,,,33
47,,-111.92879,33.39638,,,,34
48,,-111.96524,33.4226,,,,35
49,,-111.94939,33.41313,,,,36
50,,-111.89624,33.39987,,,,37
51,,-111.94988,33.41272,,,,38
52,,-111.93751,33.40064,,,,39
53,,-111.91077,33.41355,,,,40
54,,-111.93667,33.4255,,,,41
55,,-111.94077,33.4001,,,,42
56,,-111.93493,33.42544,,,,-1
57,,-111.89201,33.39986,,,,43
58,,-111.88568,33.37985,,,,44
59,,-111.96529,33.42329,,,,45
60,,-111.92741,33.40107,,,,46
61,,-111.89973,33.40088,,,,47
62,,-111.93061,33.40103,,,,48
63,,-111.96529,33.42399,,,,49
64,,-111.89021,33.39984,,,,50
65,,-111.88881,33.39984,,,,51
66,,-111.94059,33.40202,,,,52
67,,-111.89445,33.41841,,,,53
68,,-111.88602,33.39985,,,,54
