link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry
100,,1,2,,1,1,0.3441,3,65,1900,,,,
101,,2,3,,1,1,0.26815,3,65,1900,,,,
102,,3,4,,1,1,0.27125,3,65,1900,,,,
103,,4,5,,1,1,0.18755,3,65,1900,,,,
104,,5,6,,1,1,0.15345,3,65,1900,,,,
105,,6,7,,1,1,0.3255,3,65,1900,,,,
106,,6,8,,1,1,0.17515,2,65,1900,,,,
107,,9,10,,1,1,0.1364,2,65,1900,,,,
108,,11,12,,1,1,0.3441,3,65,1900,,,,
109,,12,13,,1,1,0.14105,3,65,1900,,,,
110,,13,14,,1,1,0.18445,3,65,1900,,,,
111,,14,15,,1,1,0.2697,3,65,1900,,,,
112,,15,16,,1,1,0.2666,3,65,1900,,,,
113,,16,17,,1,1,0.09145,3,65,1900,,,,
114,,17,18,,1,1,0.25265,3,65,1900,,,,
115,,17,19,,1,1,0.15655,2,65,1900,,,,
116,,20,12,,1,1,0.14415,2,65,1900,,,,
