node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1,,-111.941980,33.406620,,,1,"POINT (-111.941980 33.406620)"
2,,-111.965290,33.423110,,,2,"POINT (-111.965290 33.423110)"
3,,-111.926360,33.386160,,,0,"POINT (-111.926360 33.386160)"
4,,-111.887710,33.381210,,,3,"POINT (-111.887710 33.381210)"
5,,-111.888040,33.381000,,,4,"POINT (-111.888040 33.381000)"
6,,-111.927870,33.420270,,,5,"POINT (-111.927870 33.420270)"
7,,-111.888470,33.380560,,,6,"POINT (-111.888470 33.380560)"
8,,-111.978560,33.420840,,,0,"POINT (-111.978560 33.420840)"
9,,-111.885060,33.402440,,,7,"POINT (-111.885060 33.402440)"
10,,-111.887440,33.420270,,,8,"POINT (-111.887440 33.420270)"
11,,-111.886280,33.420270,,,9,"POINT (-111.886280 33.420270)"
12,,-111.940580,33.383260,,,0,"POINT (-111.940580 33.383260)"
13,,-111.953010,33.421920,,,0,"POINT (-111.953010 33.421920)"
14,,-111.940630,33.380740,,,0,"POINT (-111.940630 33.380740)"
15,,-111.941260,33.421930,,,10,"POINT (-111.941260 33.421930)"
16,,-111.943060,33.429670,,,0,"POINT (-111.943060 33.429670)"
17,,-111.941240,33.419050,,,11,"POINT (-111.941240 33.419050)"
18,,-111.941230,33.417620,,,12,"POINT (-111.941230 33.417620)"
19,,-111.895820,33.386650,,,13,"POINT (-111.895820 33.386650)"
20,,-111.941210,33.416200,,,14,"POINT (-111.941210 33.416200)"
21,,-111.941190,33.414740,,,15,"POINT (-111.941190 33.414740)"
22,,-111.898740,33.425700,,,0,"POINT (-111.898740 33.425700)"
23,,-111.897030,33.425700,,,0,"POINT (-111.897030 33.425700)"
24,,-111.895320,33.425690,,,0,"POINT (-111.895320 33.425690)"
25,,-111.921700,33.404140,,,16,"POINT (-111.921700 33.404140)"
26,,-111.893570,33.425690,,,0,"POINT (-111.893570 33.425690)"
27,,-111.960790,33.406230,,,0,"POINT (-111.960790 33.406230)"
28,,-111.891900,33.425690,,,0,"POINT (-111.891900 33.425690)"
29,,-111.951430,33.413820,,,17,"POINT (-111.951430 33.413820)"
30,,-111.916120,33.402210,,,18,"POINT (-111.916120 33.402210)"
31,,-111.890230,33.425700,,,19,"POINT (-111.890230 33.425700)"
32,,-111.947840,33.405570,,,20,"POINT (-111.947840 33.405570)"
33,,-111.950440,33.412140,,,21,"POINT (-111.950440 33.412140)"
34,,-111.912030,33.402690,,,22,"POINT (-111.912030 33.402690)"
35,,-111.921010,33.404440,,,23,"POINT (-111.921010 33.404440)"
36,,-111.978220,33.436730,,,0,"POINT (-111.978220 33.436730)"
37,,-111.911150,33.402690,,,24,"POINT (-111.911150 33.402690)"
38,,-111.937310,33.399240,,,25,"POINT (-111.937310 33.399240)"
39,,-111.950880,33.409830,,,26,"POINT (-111.950880 33.409830)"
40,,-111.980820,33.392620,,,27,"POINT (-111.980820 33.392620)"
41,,-111.983060,33.392600,,,28,"POINT (-111.983060 33.392600)"
42,,-111.929630,33.397370,,,29,"POINT (-111.929630 33.397370)"
43,,-111.917120,33.413630,,,30,"POINT (-111.917120 33.413630)"
44,,-111.965210,33.423480,,,31,"POINT (-111.965210 33.423480)"
45,,-111.893700,33.401290,,,32,"POINT (-111.893700 33.401290)"
46,,-111.896070,33.381240,,,33,"POINT (-111.896070 33.381240)"
47,,-111.928790,33.396380,,,34,"POINT (-111.928790 33.396380)"
48,,-111.965240,33.422600,,,35,"POINT (-111.965240 33.422600)"
49,,-111.949390,33.413130,,,36,"POINT (-111.949390 33.413130)"
50,,-111.896240,33.399870,,,37,"POINT (-111.896240 33.399870)"
51,,-111.949880,33.412720,,,38,"POINT (-111.949880 33.412720)"
52,,-111.937510,33.400640,,,39,"POINT (-111.937510 33.400640)"
53,,-111.910770,33.413550,,,40,"POINT (-111.910770 33.413550)"
