name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,4904,1074,1259,,,1762.5374325245402,1,1799.0,94.95106,1,,"LINESTRING (-111.96761 33.3995,-111.96751 33.39838,-111.96757 33.39734,-111.9676 33.39666,-111.96763 33.39592,-111.96766 33.39512,-111.96766 33.39428,-111.96768 33.39317,-111.96769 33.39179,-111.96775 33.3906,-111.96774 33.39032,-111.96769 33.39005,-111.9676 33.38977,-111.96745 33.38943,-111.96731 33.38921,-111.96709 33.38894,-111.96688 33.38872,-111.96665 33.38852,-111.96642 33.38837,-111.96617 33.38822,-111.96581 33.38807,-111.96548 33.38795,-111.96522 33.38788,-111.96482 33.38781,-111.96413 33.38772,-111.96334 33.3876,-111.96248 33.3875,-111.96138 33.38728)",
,4905a,1075,1078,,,32.62306975867241,1,699.0,46.67086,6,,"LINESTRING (-111.94629 33.3902,-111.94631 33.38991)",
,4905b,1078,1075,,,32.62306975867241,1,699.0,46.67086,6,,"LINESTRING (-111.94624 33.38991,-111.94622 33.3902)",
,4907a,1075,2245,,,83.02328985766133,1,699.0,46.67086,6,,"LINESTRING (-111.94626 33.39023,-111.94673 33.39023,-111.94715 33.39023)",
,4907b,2245,1075,,,83.0233198687167,1,699.0,46.67086,6,,"LINESTRING (-111.94715 33.39017,-111.94673 33.39017,-111.94626 33.39017)",
,4909a,1075,1699,,,46.93729724901539,1,699.0,46.67086,6,,"LINESTRING (-111.94622 33.3902,-111.94622 33.39028,-111.94624 33.39063)",
,4909b,1699,1075,,,46.93463622234183,1,699.0,46.67086,6,,"LINESTRING (-111.94632 33.39062,-111.9463 33.39028,-111.94629 33.3902)",
,4911a,1076,2245,,,67.05939825776856,1,699.0,46.67086,6,,"LINESTRING (-111.94787 33.39018,-111.94715 33.39017)",
,4911b,2245,1076,,,67.05939825776856,1,699.0,46.67086,6,,"LINESTRING (-111.94715 33.39023,-111.94787 33.39024)",
,4915a,1076,1703,,,94.57898206767157,1,699.0,46.67086,6,,"LINESTRING (-111.94783 33.39021,-111.94783 33.3904,-111.94782 33.39065,-111.94781 33.39106)",
,4915b,1703,1076,,,94.57677155293638,1,699.0,46.67086,6,,"LINESTRING (-111.94788 33.39106,-111.94789 33.39065,-111.9479 33.3904,-111.94791 33.39021)",
,4917a,1077,1078,,,241.8775851869014,1,699.0,46.67086,6,,"LINESTRING (-111.94367 33.38996,-111.94627 33.38994)",
,4917b,1078,1077,,,241.8775851869014,1,699.0,46.67086,6,,"LINESTRING (-111.94627 33.38988,-111.94367 33.38989)",
,4919a,1077,1300,,,81.04381035672016,1,699.0,46.67086,6,,"LINESTRING (-111.94371 33.38992,-111.94371 33.38957,-111.94371 33.38919)",
,4919b,1300,1077,,,81.0438103502,1,699.0,46.67086,6,,"LINESTRING (-111.94364 33.38919,-111.94364 33.38957,-111.94364 33.38992)",
,4921a,1077,1696,,,82.63379686649057,1,699.0,46.67086,6,,"LINESTRING (-111.94364 33.38992,-111.94364 33.39031,-111.94364 33.39067)",
,4921b,1696,1077,,,82.6323836619269,1,699.0,46.67086,6,,"LINESTRING (-111.94372 33.39067,-111.94371 33.39031,-111.94371 33.38992)",
,4935a,1079,1479,,,99.35566886204802,2,1598.0,48.2802,5,,"LINESTRING (-111.95236 33.39011,-111.95222 33.39053,-111.95206 33.39097)",
,4935b,1479,1079,,,99.35336990544738,2,1598.0,48.2802,5,,"LINESTRING (-111.95217 33.391,-111.95233 33.39056,-111.95247 33.39014)",
,4937a,1080,1081,,,36.02309088719136,1,699.0,46.67086,6,,"LINESTRING (-111.98495 33.38295,-111.98456 33.38295)",
,4937b,1081,1080,,,36.02309088719136,1,699.0,46.67086,6,,"LINESTRING (-111.98456 33.38301,-111.98495 33.38301)",
,4939a,1080,1172,,,66.32074473413931,1,699.0,46.67086,6,,"LINESTRING (-111.98491 33.38298,-111.98491 33.38358)",
,4939b,1172,1080,,,66.32074473413931,1,699.0,46.67086,6,,"LINESTRING (-111.98499 33.38358,-111.98499 33.38298)",
,4941a,1080,3272,,,46.28316699241829,1,699.0,46.67086,6,,"LINESTRING (-111.98499 33.38298,-111.98501 33.38256)",
,4941b,3272,1080,,,46.28316699241829,1,699.0,46.67086,6,,"LINESTRING (-111.98494 33.38256,-111.98491 33.38298)",
,4943a,1081,1083,,,15.664331484980037,1,699.0,46.67086,6,,"LINESTRING (-111.98456 33.38295,-111.98439 33.38295)",
,4943b,1083,1081,,,15.664331484980037,1,699.0,46.67086,6,,"LINESTRING (-111.98439 33.38301,-111.98456 33.38301)",
,4947a,1081,1173,,,66.05319656349249,1,699.0,46.67086,6,,"LINESTRING (-111.98452 33.38298,-111.98454 33.38358)",
,4947b,1173,1081,,,66.05319656349249,1,699.0,46.67086,6,,"LINESTRING (-111.98461 33.38357,-111.9846 33.38298)",
,4953a,1084,1085,,,63.8755954831535,1,699.0,46.67086,6,,"LINESTRING (-111.95699 33.38967,-111.95768 33.38965)",
,4953b,1085,1084,,,63.8755954831535,1,699.0,46.67086,6,,"LINESTRING (-111.95768 33.38959,-111.95699 33.38961)",
,4955a,1085,1086,,,73.46164530384026,1,699.0,46.67086,6,,"LINESTRING (-111.95768 33.38965,-111.95847 33.38967)",
,4955b,1086,1085,,,73.46164530384026,1,699.0,46.67086,6,,"LINESTRING (-111.95847 33.38961,-111.95768 33.38959)",
,4959a,1085,1234,,,87.40933438469936,1,699.0,46.67086,6,,"LINESTRING (-111.95772 33.38962,-111.95773 33.38923,-111.95774 33.38883)",
,4959b,1234,1085,,,87.41293160964767,1,699.0,46.67086,6,,"LINESTRING (-111.95766 33.38883,-111.95765 33.38923,-111.95764 33.38962)",
,4963a,1086,1323,,,258.23164919646933,1,699.0,46.67086,6,,"LINESTRING (-111.95843 33.38964,-111.95841 33.39197)",
,4963b,1323,1086,,,258.23164919646933,1,699.0,46.67086,6,,"LINESTRING (-111.95848 33.39197,-111.95851 33.38964)",
,4965a,1086,2065,,,330.0845591859122,1,699.0,46.67086,6,,"LINESTRING (-111.95847 33.38967,-111.95889 33.38966,-111.95926 33.38966,-111.95923 33.39197)",
,4965b,2065,1086,,,344.4023718261837,1,699.0,46.67086,6,,"LINESTRING (-111.95931 33.39197,-111.95934 33.3896,-111.95889 33.3896,-111.95847 33.38961)",
,4967a,1087,1089,,,21.717885869145206,1,699.0,46.67086,6,,"LINESTRING (-111.91665 33.40471,-111.9167 33.4049)",
