name,link_id,from_node_id,to_node_id,link_key,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
West Palmdale Drive,1a,1,1534,1 1534,1,0.19570993,1,29,699,residential,6,"LINESTRING (-111.9419776 33.406618, -111.942459 33.4066144, -111.9427004 33.4066413, -111.942797 33.4066491, -111.9428788 33.4066368, -111.9429083 33.4065853, -111.9428922 33.4065249, -111.942868 33.406404, -111.9428587 33.4062353, -111.9428667 33.4061173, -111.9428949 33.4059584, -111.9428895 33.4058789, -111.94286 33.4058307, -111.9427902 33.4058106, -111.9427138 33.4058184, -111.9424898 33.4058621, -111.9413687 33.4058677)"
West Palmdale Drive,1b,1534,1,1534 1,1,0.19570993,1,29,699,residential,6,"LINESTRING (-111.9413687 33.4058677, -111.9424898 33.4058621, -111.9427138 33.4058184, -111.9427902 33.4058106, -111.94286 33.4058307, -111.9428895 33.4058789, -111.9428949 33.4059584, -111.9428667 33.4061173, -111.9428587 33.4062353, -111.942868 33.406404, -111.9428922 33.4065249, -111.9429083 33.4065853, -111.9428788 33.4066368, -111.942797 33.4066491, -111.9427004 33.4066413, -111.942459 33.4066144, -111.9419776 33.406618)"
South Dateland Drive,5a,1,2637,1 2637,1,0.053841824,1,29,699,residential,6,"LINESTRING (-111.9419776 33.406618, -111.9419811 33.4069995, -111.9419806 33.4070537, -111.941979 33.4072589, -111.9419779 33.4073972)"
South Dateland Drive,5b,2637,1,2637 1,1,0.053841824,1,29,699,residential,6,"LINESTRING (-111.9419779 33.4073972, -111.941979 33.4072589, -111.9419806 33.4070537, -111.9419811 33.4069995, -111.9419776 33.406618)"
South Lindon Lane,7,2,48,2 48,1,0.036266147,1,25,699,residential,6,"LINESTRING (-111.9652898 33.4231118, -111.9652889 33.4230036, -111.9652916 33.4226843, -111.965243 33.4225958)"
nan,8,3,1461,3 1461,1,0.008994765,2,59,3598,motorway,1,"LINESTRING (-111.926358 33.3861649, -111.9265139 33.3861649)"
South Rural Road,9,3,1730,3 1730,1,0.064723781,3,40,3597,primary,3,"LINESTRING (-111.926358 33.3861649, -111.9263578 33.3862403, -111.9263563 33.3868021, -111.9263562 33.3868292, -111.9264421 33.387092)"
West la Senda Circle,10a,4,5,4 5,1,0.024068686,1,29,699,residential,6,"LINESTRING (-111.8877102 33.3812101, -111.8880449 33.3810022)"
West la Senda Circle,10b,5,4,5 4,1,0.024068686,1,29,699,residential,6,"LINESTRING (-111.8880449 33.3810022, -111.8877102 33.3812101)"
West la Senda Circle,14a,5,7,5 7,1,0.039109673,1,29,699,residential,6,"LINESTRING (-111.8880449 33.3810022, -111.8882423 33.380823, -111.8884741 33.380565)"
West la Senda Circle,14b,7,5,7 5,1,0.039109673,1,29,699,residential,6,"LINESTRING (-111.8884741 33.380565, -111.8882423 33.380823, -111.8880449 33.3810022)"
West Javelina Avenue,16a,5,1772,5 1772,1,0.044963261,1,25,699,residential,6,"LINESTRING (-111.8880449 33.3810022, -111.8880855 33.3810969, -111.8881546 33.3812307, -111.8881982 33.3813494, -111.8882398 33.3815218, -111.8882509 33.3816258)"
West Javelina Avenue,16b,1772,5,1772 5,1,0.044963261,1,25,699,residential,6,"LINESTRING (-111.8882509 33.3816258, -111.8882398 33.3815218, -111.8881982 33.3813494, -111.8881546 33.3812307, -111.8880855 33.3810969, -111.8880449 33.3810022)"
West Javelina Avenue,18a,5,3253,5 3253,1,0.066963307,1,25,699,residential,6,"LINESTRING (-111.8880449 33.3810022, -111.8879507 33.3809104, -111.8878716 33.3808247, -111.8877891 33.380748, -111.8876792 33.3806635, -111.8875645 33.3805884, -111.887421 33.3805045, -111.8872748 33.3804333, -111.8871668 33.3803838)"
West Javelina Avenue,18b,3253,5,3253 5,1,0.066963307,1,25,699,residential,6,"LINESTRING (-111.8871668 33.3803838, -111.8872748 33.3804333, -111.887421 33.3805045, -111.8875645 33.3805884, -111.8876792 33.3806635, -111.8877891 33.380748, -111.8878716 33.3808247, -111.8879507 33.3809104, -111.8880449 33.3810022)"
East Tyler Street,20a,6,1861,6 1861,1,0.060465327,1,29,699,residential,6,"LINESTRING (-111.9278714 33.4202692, -111.9280217 33.4202698, -111.9288 33.420273, -111.928813 33.4202727, -111.9289198 33.4202704)"
East Tyler Street,20b,1861,6,1861 6,1,0.060465327,1,29,699,residential,6,"LINESTRING (-111.9289198 33.4202704, -111.928813 33.4202727, -111.9288 33.420273, -111.9280217 33.4202698, -111.9278714 33.4202692)"
nan,24,8,1495,8 1495,1,0.2435975,1,59,1799,motorway,1,"LINESTRING (-111.9785637 33.4208438, -111.9784866 33.4195335, -111.9784579 33.419072, -111.9784144 33.4185289, -111.9783544 33.4176477, -111.9782757 33.4173299)"
South El Dorado,25a,9,881,9 881,1,0.159363001,1,29,699,residential,6,"LINESTRING (-111.8850641 33.4024404, -111.8841691 33.4002584)"
South El Dorado,25b,881,9,881 9,1,0.159363001,1,29,699,residential,6,"LINESTRING (-111.8841691 33.4002584, -111.8850641 33.4024404)"
West Robin Avenue,27a,9,2094,9 2094,1,0.397288983,1,29,699,residential,6,"LINESTRING (-111.8850641 33.4024404, -111.884855 33.4024423, -111.884283 33.4024476, -111.8842573 33.4030065, -111.8842744 33.40368, -111.8843431 33.4041457, -111.8844633 33.4048193, -111.8846435 33.4053781, -111.8847379 33.4056504, -111.8849782 33.4062451, -111.884984 33.406275, -111.885017 33.406446, -111.8850119 33.406582, -111.8850022 33.4071837, -111.8850047 33.407467)"
West Robin Avenue,27b,2094,9,2094 9,1,0.397288983,1,29,699,residential,6,"LINESTRING (-111.8850047 33.407467, -111.8850022 33.4071837, -111.8850119 33.406582, -111.885017 33.406446, -111.884984 33.406275, -111.8849782 33.4062451, -111.8847379 33.4056504, -111.8846435 33.4053781, -111.8844633 33.4048193, -111.8843431 33.4041457, -111.8842744 33.40368, -111.8842573 33.4030065, -111.884283 33.4024476, -111.884855 33.4024423, -111.8850641 33.4024404)"
West Robin Avenue,29a,9,2096,9 2096,1,0.380465199,1,29,699,residential,6,"LINESTRING (-111.8850641 33.4024404, -111.8853988 33.4024547, -111.8859739 33.4039093, -111.8867635 33.4058582, -111.8869094 33.406195, -111.8869288 33.4062643, -111.8869695 33.4064099, -111.887054 33.4069228, -111.8871192 33.4073783, -111.8871254 33.4074602)"
West Robin Avenue,29b,2096,9,2096 9,1,0.380465199,1,29,699,residential,6,"LINESTRING (-111.8871254 33.4074602, -111.8871192 33.4073783, -111.887054 33.4069228, -111.8869695 33.4064099, -111.8869288 33.4062643, -111.8869094 33.406195, -111.8867635 33.4058582, -111.8859739 33.4039093, -111.8853988 33.4024547, -111.8850641 33.4024404)"
East Maryland Drive,31a,10,11,10 11,1,0.066824113,1,29,699,residential,6,"LINESTRING (-111.887437 33.4202672, -111.8862783 33.4202692)"
East Maryland Drive,31b,11,10,11 10,1,0.066824113,1,29,699,residential,6,"LINESTRING (-111.8862783 33.4202692, -111.887437 33.4202672)"
East Maryland Drive,33a,10,644,10 644,1,0.151305307,1,29,699,residential,6,"LINESTRING (-111.887437 33.4202672, -111.8885095 33.4202611, -111.8900231 33.4202524, -111.8900605 33.4202526)"
East Maryland Drive,33b,644,10,644 10,1,0.151305307,1,29,699,residential,6,"LINESTRING (-111.8900605 33.4202526, -111.8900231 33.4202524, -111.8885095 33.4202611, -111.887437 33.4202672)"
South George Drive,35a,10,1552,10 1552,1,0.058360024,1,29,699,residential,6,"LINESTRING (-111.887437 33.4202672, -111.8874385 33.4200546, -111.8874433 33.4194226)"
South George Drive,35b,1552,10,1552 10,1,0.058360024,1,29,699,residential,6,"LINESTRING (-111.8874433 33.4194226, -111.8874385 33.4200546, -111.887437 33.4202672)"
South George Drive,37a,10,2491,10 2491,1,0.062099609,1,29,699,residential,6,"LINESTRING (-111.887437 33.4202672, -111.8874377 33.4204364, -111.8874284 33.4211659)"
South George Drive,37b,2491,10,2491 10,1,0.062099609,1,29,699,residential,6,"LINESTRING (-111.8874284 33.4211659, -111.8874377 33.4204364, -111.887437 33.4202672)"
East Maryland Drive,39a,11,828,11 828,1,0.18638893,1,29,699,residential,6,"LINESTRING (-111.8862783 33.4202692, -111.8830464 33.4202704)"
East Maryland Drive,39b,828,11,828 11,1,0.18638893,1,29,699,residential,6,"LINESTRING (-111.8830464 33.4202704, -111.8862783 33.4202692)"
South Lebanon Lane,43a,11,1844,11 1844,1,0.063004989,1,29,699,residential,6,"LINESTRING (-111.8862783 33.4202692, -111.8862878 33.4193574)"
South Lebanon Lane,43b,1844,11,1844 11,1,0.063004989,1,29,699,residential,6,"LINESTRING (-111.8862878 33.4193574, -111.8862783 33.4202692)"
South Lebanon Lane,45a,11,2492,11 2492,1,0.061959173,1,29,699,residential,6,"LINESTRING (-111.8862783 33.4202692, -111.8862763 33.4211659)"
South Lebanon Lane,45b,2492,11,2492 11,1,0.061959173,1,29,699,residential,6,"LINESTRING (-111.8862763 33.4211659, -111.8862783 33.4202692)"
West Carter Drive,47a,12,3221,12 3221,1,0.065647182,1,25,699,others,7,"LINESTRING (-111.9405837 33.3832583, -111.939446 33.3832713)"
West Carter Drive,47b,3221,12,3221 12,1,0.065647182,1,25,699,others,7,"LINESTRING (-111.939446 33.3832713, -111.9405837 33.3832583)"
South Maple Avenue,49a,12,14,12 14,1,0.174674919,1,29,699,others,7,"LINESTRING (-111.9405837 33.3832583, -111.9405758 33.3830768, -111.940567 33.3825934, -111.9405639 33.3823965, -111.9405589 33.3820775, -111.9405568 33.3819502, -111.9405543 33.3817903, -111.9405543 33.3814498, -111.9405727 33.3809584, -111.9406278 33.3807355)"
