name,link_id,from_node_id,to_node_id,link_key,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry
South Maple Avenue,49b,14,12,14 12,1,0.174674919,1,29,699,others,7,"LINESTRING (-111.9406278 33.3807355, -111.9405727 33.3809584, -111.9405543 33.3814498, -111.9405543 33.3817903, -111.9405568 33.3819502, -111.9405589 33.3820775, -111.9405639 33.3823965, -111.940567 33.3825934, -111.9405758 33.3830768, -111.9405837 33.3832583)"
South Ash Avenue,51a,12,2221,12 2221,1,0.247972156,1,25,699,others,7,"LINESTRING (-111.9405837 33.3832583, -111.9408168 33.3832555, -111.9410521 33.3832273, -111.941404 33.3830983, -111.94173 33.3829189, -111.9417522 33.3829067, -111.9417817 33.3828905, -111.9418341 33.3828447, -111.9419499 33.3827359, -111.9420831 33.3825615, -111.9421149 33.3825185, -111.9421405 33.3824683, -111.9422452 33.3821708, -111.9422709 33.3820852, -111.9422709 33.3820304, -111.9422775 33.3818355, -111.9422619 33.3816615, -111.9422194 33.3815144, -111.9420907 33.3811489, -111.9420156 33.3809407, -111.9418761 33.380554)"
South Ash Avenue,51b,2221,12,2221 12,1,0.247972156,1,25,699,others,7,"LINESTRING (-111.9418761 33.380554, -111.9420156 33.3809407, -111.9420907 33.3811489, -111.9422194 33.3815144, -111.9422619 33.3816615, -111.9422775 33.3818355, -111.9422709 33.3820304, -111.9422709 33.3820852, -111.9422452 33.3821708, -111.9421405 33.3824683, -111.9421149 33.3825185, -111.9420831 33.3825615, -111.9419499 33.3827359, -111.9418341 33.3828447, -111.9417817 33.3828905, -111.9417522 33.3829067, -111.94173 33.3829189, -111.941404 33.3830983, -111.9410521 33.3832273, -111.9408168 33.3832555, -111.9405837 33.3832583)"
West University Drive,53a,13,532,13 532,1,0.045658608,3,40,3597,primary,3,"LINESTRING (-111.9530106 33.4219181, -111.9528713 33.421917, -111.9528222 33.4219166, -111.9526029 33.4219173, -111.9523298 33.4219157, -111.9522189 33.4219154)"
West University Drive,53b,532,13,532 13,1,0.045658608,3,40,3597,primary,3,"LINESTRING (-111.9522189 33.4219154, -111.9523298 33.4219157, -111.9526029 33.4219173, -111.9528222 33.4219166, -111.9528713 33.421917, -111.9530106 33.4219181)"
West University Drive,55,13,1459,13 1459,1,0.035050067,2,40,2398,primary,3,"LINESTRING (-111.9530106 33.4219181, -111.9531592 33.4219586, -111.953486 33.4219586, -111.9536016 33.4219197)"
West Ellis Drive,58a,14,2221,14 2221,1,0.074266621,1,29,699,others,7,"LINESTRING (-111.9406278 33.3807355, -111.9408719 33.3807618, -111.9411551 33.3807475, -111.9414727 33.3806615, -111.9418761 33.380554)"
West Ellis Drive,58b,2221,14,2221 14,1,0.074266621,1,29,699,others,7,"LINESTRING (-111.9418761 33.380554, -111.9414727 33.3806615, -111.9411551 33.3807475, -111.9408719 33.3807618, -111.9406278 33.3807355)"
West Ellis Drive,60a,14,2592,14 2592,1,0.072405528,1,29,699,others,7,"LINESTRING (-111.9406278 33.3807355, -111.94042 33.3806992, -111.940355 33.3806828, -111.9402723 33.3806619, -111.9399383 33.380631, -111.9395444 33.3806391, -111.9393862 33.3806362)"
West Ellis Drive,60b,2592,14,2592 14,1,0.072405528,1,29,699,others,7,"LINESTRING (-111.9393862 33.3806362, -111.9395444 33.3806391, -111.9399383 33.380631, -111.9402723 33.3806619, -111.940355 33.3806828, -111.94042 33.3806992, -111.9406278 33.3807355)"
South Maple Avenue,62a,15,908,15 908,1,0.097319318,1,29,699,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)"
South Maple Avenue,62b,908,15,908 15,1,0.097319318,1,29,699,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998, -111.9412404 33.4212296, -111.9412418 33.4212879, -111.9412432 33.4213251, -111.9412608 33.4219305)"
West University Drive,64a,15,2174,15 2174,1,0.065116506,3,35,3597,primary,3,"LINESTRING (-111.9412608 33.4219305, -111.9417462 33.4219298, -111.9417698 33.4219298, -111.9422926 33.421929, -111.9423899 33.4219281)"
West University Drive,64b,2174,15,2174 15,1,0.065116506,3,35,3597,primary,3,"LINESTRING (-111.9423899 33.4219281, -111.9422926 33.421929, -111.9417698 33.4219298, -111.9417462 33.4219298, -111.9412608 33.4219305)"
West University Drive,66a,15,2556,15 2556,1,0.068093012,3,35,3597,primary,3,"LINESTRING (-111.9412608 33.4219305, -111.9407478 33.4219322, -111.9407009 33.4219324, -111.9405744 33.4219328, -111.9401712 33.4219341, -111.9400803 33.4219289)"
West University Drive,66b,2556,15,2556 15,1,0.068093012,3,35,3597,primary,3,"LINESTRING (-111.9400803 33.4219289, -111.9401712 33.4219341, -111.9405744 33.4219328, -111.9407009 33.4219324, -111.9407478 33.4219322, -111.9412608 33.4219305)"
West 1st Street,68a,16,1375,16 1375,1,0.071562288,1,29,799,tertiary,5,"LINESTRING (-111.9430563 33.4296715, -111.94331 33.4295574, -111.9433981 33.4295368, -111.9434575 33.4295241, -111.9435008 33.42952, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155)"
West 1st Street,68b,1375,16,1375 16,1,0.071562288,1,29,799,tertiary,5,"LINESTRING (-111.9442567 33.4295155, -111.9438891 33.4295138, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9433981 33.4295368, -111.94331 33.4295574, -111.9430563 33.4296715)"
West Rio Salado Parkway,70,16,2056,16 2056,1,0.024374415,3,39,2997,secondary,4,"LINESTRING (-111.9430563 33.4296715, -111.9429722 33.4295963, -111.9429203 33.4295496, -111.9428945 33.4295157, -111.9428737 33.429453, -111.9428674 33.4293722)"
West 10th Street,71a,17,2170,17 2170,1,0.066729039,1,29,699,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)"
West 10th Street,71b,2170,17,2170 17,1,0.066729039,1,29,699,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412375 33.4190521)"
West 10th Street,73a,17,2906,17 2906,1,0.069759607,1,29,699,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507, -111.940488 33.4190526, -111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)"
West 10th Street,73b,2906,17,2906 17,1,0.069759607,1,29,699,residential,6,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531, -111.940488 33.4190526, -111.9405973 33.4190507, -111.9412375 33.4190521)"
South Maple Avenue,75a,17,18,17 18,1,0.09898902,1,29,699,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9412372 33.4189818, -111.94123 33.4176195)"
South Maple Avenue,75b,18,17,18 17,1,0.09898902,1,29,699,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9412372 33.4189818, -111.9412375 33.4190521)"
South Maple Avenue,77a,17,910,17 910,1,0.096307058,1,29,699,residential,6,"LINESTRING (-111.9412375 33.4190521, -111.9412228 33.4191313, -111.9412339 33.4200543, -111.9412317 33.4203907, -111.9412313 33.4204449)"
South Maple Avenue,77b,910,17,910 17,1,0.096307058,1,29,699,residential,6,"LINESTRING (-111.9412313 33.4204449, -111.9412317 33.4203907, -111.9412339 33.4200543, -111.9412228 33.4191313, -111.9412375 33.4190521)"
South Maple Avenue,79a,18,20,18 20,1,0.09781706,1,29,699,residential,6,"LINESTRING (-111.94123 33.4176195, -111.941205 33.416204)"
South Maple Avenue,79b,20,18,20 18,1,0.09781706,1,29,699,residential,6,"LINESTRING (-111.941205 33.416204, -111.94123 33.4176195)"
West 11th Street,81a,18,2169,18 2169,1,0.070505908,1,25,699,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9418304 33.4176181, -111.9424525 33.4176183)"
West 11th Street,81b,2169,18,2169 18,1,0.070505908,1,25,699,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9418304 33.4176181, -111.94123 33.4176195)"
West 11th Street,83a,18,2558,18 2558,1,0.068857334,1,25,699,residential,6,"LINESTRING (-111.94123 33.4176195, -111.9405903 33.4176159, -111.9405076 33.4176174, -111.9400362 33.4176249)"
West 11th Street,83b,2558,18,2558 18,1,0.068857334,1,25,699,residential,6,"LINESTRING (-111.9400362 33.4176249, -111.9405076 33.4176174, -111.9405903 33.4176159, -111.94123 33.4176195)"
East Shannon Drive,87a,19,2607,19 2607,1,0.010099614,1,29,699,residential,6,"LINESTRING (-111.8958182 33.3866492, -111.8957082 33.3867629)"
East Shannon Drive,87b,2607,19,2607 19,1,0.010099614,1,29,699,residential,6,"LINESTRING (-111.8957082 33.3867629, -111.8958182 33.3866492)"
South Maple Avenue,89a,20,21,20 21,1,0.100864405,1,29,699,residential,6,"LINESTRING (-111.941205 33.416204, -111.9411894 33.4147443)"
South Maple Avenue,89b,21,20,21 20,1,0.100864405,1,29,699,residential,6,"LINESTRING (-111.9411894 33.4147443, -111.941205 33.416204)"
West 12th Street,93a,20,2168,20 2168,1,0.071974898,1,29,699,residential,6,"LINESTRING (-111.941205 33.416204, -111.941821 33.4161933, -111.9424528 33.4161904)"
West 12th Street,93b,2168,20,2168 20,1,0.071974898,1,29,699,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.941821 33.4161933, -111.941205 33.416204)"
West 12th Street,95a,20,2559,20 2559,1,0.070110698,1,29,699,residential,6,"LINESTRING (-111.941205 33.416204, -111.9405834 33.4162013, -111.9399894 33.4162047)"
West 12th Street,95b,2559,20,2559 20,1,0.070110698,1,29,699,residential,6,"LINESTRING (-111.9399894 33.4162047, -111.9405834 33.4162013, -111.941205 33.416204)"
West 13th Street,99a,21,2166,21 2166,1,0.070914789,1,25,699,residential,6,"LINESTRING (-111.9411894 33.4147443, -111.9418209 33.4147362, -111.9424188 33.4147283)"
West 13th Street,99b,2166,21,2166 21,1,0.070914789,1,25,699,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9418209 33.4147362, -111.9411894 33.4147443)"
West 13th Street,101a,21,3204,21 3204,1,0.020999592,1,25,699,residential,6,"LINESTRING (-111.9411894 33.4147443, -111.9409804 33.4147446, -111.9408253 33.4147456)"
West 13th Street,101b,3204,21,3204 21,1,0.020999592,1,25,699,residential,6,"LINESTRING (-111.9408253 33.4147456, -111.9409804 33.4147446, -111.9411894 33.4147443)"
South Clark Drive,103a,22,2762,22 2762,1,0.24560835,1,29,699,others,7,"LINESTRING (-111.8987373 33.4257009, -111.8987393 33.4260494, -111.8987406 33.4262712, -111.8987407 33.4262914, -111.8987417 33.4264698, -111.898744 33.4268502, -111.8987451 33.42704, -111.8987472 33.4273923, -111.898748 33.4275307, -111.898749 33.4276999, -111.8987496 33.4278013, -111.8987523 33.4282641, -111.8987533 33.4284403, -111.8987548 33.4286971, -111.89876 33.4289948, -111.8987581 33.4292554)"
South Clark Drive,103b,2762,22,2762 22,1,0.24560835,1,29,699,others,7,"LINESTRING (-111.8987581 33.4292554, -111.89876 33.4289948, -111.8987548 33.4286971, -111.8987533 33.4284403, -111.8987523 33.4282641, -111.8987496 33.4278013, -111.898749 33.4276999, -111.898748 33.4275307, -111.8987472 33.4273923, -111.8987451 33.42704, -111.898744 33.4268502, -111.8987417 33.4264698, -111.8987407 33.4262914, -111.8987406 33.4262712, -111.8987393 33.4260494, -111.8987373 33.4257009)"
East 5th Street,105a,22,23,22 23,1,0.098503707,1,29,699,others,7,"LINESTRING (-111.8987373 33.4257009, -111.8983465 33.4256993, -111.8980079 33.4256979, -111.8978474 33.4256972, -111.8977835 33.4256969, -111.8970292 33.4256972)"
East 5th Street,105b,23,22,23 22,1,0.098503707,1,29,699,others,7,"LINESTRING (-111.8970292 33.4256972, -111.8977835 33.4256969, -111.8978474 33.4256972, -111.8980079 33.4256979, -111.8983465 33.4256993, -111.8987373 33.4257009)"
East 5th Street,107a,22,1498,22 1498,1,0.098711254,1,29,699,others,7,"LINESTRING (-111.8987373 33.4257009, -111.8988961 33.4257004, -111.8992989 33.425699, -111.8994274 33.4256986, -111.8999486 33.4256969, -111.900449 33.4256952)"
East 5th Street,107b,1498,22,1498 22,1,0.098711254,1,29,699,others,7,"LINESTRING (-111.900449 33.4256952, -111.8999486 33.4256969, -111.8994274 33.4256986, -111.8992989 33.425699, -111.8988961 33.4257004, -111.8987373 33.4257009)"
South Rockford Drive,109a,23,1559,23 1559,1,0.247581916,1,29,699,others,7,"LINESTRING (-111.8970292 33.4256972, -111.8970295 33.425901, -111.8970297 33.4260084, -111.89703 33.4261847, -111.8970301 33.4262578, -111.8970304 33.4264145, -111.8970307 33.4265849, -111.897031 33.4267382, -111.8970312 33.4268509, -111.8970315 33.4269914, -111.8970318 33.4271854, -111.8970319 33.4272698, -111.8970321 33.427403, -111.8970324 33.4275485, -111.8970329 33.4278661, -111.8970334 33.4281451, -111.8970339 33.4284044, -111.897034 33.4284898, -111.8970347 33.428851, -111.8970347 33.4288738, -111.897034 33.4289946, -111.8970349 33.429015, -111.897035 33.4292803)"
South Rockford Drive,109b,1559,23,1559 23,1,0.247581916,1,29,699,others,7,"LINESTRING (-111.897035 33.4292803, -111.8970349 33.429015, -111.897034 33.4289946, -111.8970347 33.4288738, -111.8970347 33.428851, -111.897034 33.4284898, -111.8970339 33.4284044, -111.8970334 33.4281451, -111.8970329 33.4278661, -111.8970324 33.4275485, -111.8970321 33.427403, -111.8970319 33.4272698, -111.8970318 33.4271854, -111.8970315 33.4269914, -111.8970312 33.4268509, -111.897031 33.4267382, -111.8970307 33.4265849, -111.8970304 33.4264145, -111.8970301 33.4262578, -111.89703 33.4261847, -111.8970297 33.4260084, -111.8970295 33.425901, -111.8970292 33.4256972)"
South Rockford Drive,113a,23,927,23 927,1,0.070701649,1,29,699,others,7,"LINESTRING (-111.8970292 33.4256972, -111.8970339 33.4253148, -111.8970378 33.4249989, -111.8971086 33.4247625, -111.8971322 33.4246837)"
South Rockford Drive,113b,927,23,927 23,1,0.070701649,1,29,699,others,7,"LINESTRING (-111.8971322 33.4246837, -111.8971086 33.4247625, -111.8970378 33.4249989, -111.8970339 33.4253148, -111.8970292 33.4256972)"
East 5th Street,115a,23,24,23 24,1,0.09839869,1,29,699,others,7,"LINESTRING (-111.8970292 33.4256972, -111.8967828 33.4256968, -111.896488 33.4256963, -111.8963434 33.4256961, -111.8958921 33.4256953, -111.8957607 33.4256951, -111.8953229 33.4256944)"
East 5th Street,115b,24,23,24 23,1,0.09839869,1,29,699,others,7,"LINESTRING (-111.8953229 33.4256944, -111.8957607 33.4256951, -111.8958921 33.4256953, -111.8963434 33.4256961, -111.896488 33.4256963, -111.8967828 33.4256968, -111.8970292 33.4256972)"
South River Drive,117a,24,2764,24 2764,1,0.2487197,1,29,699,others,7,"LINESTRING (-111.8953229 33.4256944, -111.8953233 33.4258915, -111.895324 33.426259, -111.8953243 33.426416, -111.8953243 33.426443, -111.8953256 33.4271149, -111.8953257 33.4271486, -111.8953259 33.4272545, -111.8953263 33.4274381, -111.8953268 33.4277285, -111.8953275 33.4280985, -111.8953279 33.4282887, -111.8953283 33.4284852, -111.8953288 33.428784, -111.895329 33.4288661, -111.895329 33.429294)"
South River Drive,117b,2764,24,2764 24,1,0.2487197,1,29,699,others,7,"LINESTRING (-111.895329 33.429294, -111.895329 33.4288661, -111.8953288 33.428784, -111.8953283 33.4284852, -111.8953279 33.4282887, -111.8953275 33.4280985, -111.8953268 33.4277285, -111.8953263 33.4274381, -111.8953259 33.4272545, -111.8953257 33.4271486, -111.8953256 33.4271149, -111.8953243 33.426443, -111.8953243 33.426416, -111.895324 33.426259, -111.8953233 33.4258915, -111.8953229 33.4256944)"
East 5th Street,119a,24,26,24 26,1,0.100976879,1,29,699,others,7,"LINESTRING (-111.8953229 33.4256944, -111.8947893 33.4256936, -111.8944987 33.4256931, -111.8940957 33.4256925, -111.8938687 33.4256921, -111.893724 33.4256919, -111.8935719 33.4256916)"
East 5th Street,119b,26,24,26 24,1,0.100976879,1,29,699,others,7,"LINESTRING (-111.8935719 33.4256916, -111.893724 33.4256919, -111.8938687 33.4256921, -111.8940957 33.4256925, -111.8944987 33.4256931, -111.8947893 33.4256936, -111.8953229 33.4256944)"
South Terrace Road,123a,25,3022,25 3022,1,0.047024445,1,29,699,residential,6,"LINESTRING (-111.9217029 33.4041409, -111.9216612 33.4041085, -111.9216204 33.4040687, -111.9215948 33.4040355, -111.9215744 33.4040022, -111.921559 33.4039691, -111.9215482 33.4039316, -111.9215421 33.4038973, -111.9215385 33.4038603, -111.9215368 33.403821, -111.9215365 33.4035874, -111.9215351 33.4035437, -111.9215314 33.4035026)"
South Terrace Road,123b,3022,25,3022 25,1,0.047024445,1,29,699,residential,6,"LINESTRING (-111.9215314 33.4035026, -111.9215351 33.4035437, -111.9215365 33.4035874, -111.9215368 33.403821, -111.9215385 33.4038603, -111.9215421 33.4038973, -111.9215482 33.4039316, -111.921559 33.4039691, -111.9215744 33.4040022, -111.9215948 33.4040355, -111.9216204 33.4040687, -111.9216612 33.4041085, -111.9217029 33.4041409)"
South Terrace Road,125a,25,3018,25 3018,1,0.038321738,1,29,699,residential,6,"LINESTRING (-111.9217029 33.4041409, -111.9217557 33.4041729, -111.9218166 33.4042043, -111.9219328 33.4042625, -111.9220253 33.4043101, -111.9221058 33.4043565, -111.9221785 33.4044019, -111.9222504 33.4044534)"
South Terrace Road,125b,3018,25,3018 25,1,0.038321738,1,29,699,residential,6,"LINESTRING (-111.9222504 33.4044534, -111.9221785 33.4044019, -111.9221058 33.4043565, -111.9220253 33.4043101, -111.9219328 33.4042625, -111.9218166 33.4042043, -111.9217557 33.4041729, -111.9217029 33.4041409)"
East Redondo Circle,127a,25,35,25 35,1,0.045810229,1,29,699,residential,6,"LINESTRING (-111.9217029 33.4041409, -111.9216283 33.4042098, -111.9215821 33.4042423, -111.9215284 33.4042726, -111.9214708 33.4042977, -111.9214097 33.4043185, -111.9210088 33.4044406)"
