link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry
1,8.97,1,2,,1,1,0.38,4,65,1900,,,,"LINESTRING (999.118126 165.453299, 956.879116 165.453299)"
2,9.23,2,3,,1,1,0.23,4,65,1900,,,,"LINESTRING (956.879116 165.453299, 899.186809 161.332420)"
3,9.42,3,4,,1,1,0.22,5,65,1900,,,,"LINESTRING (899.186809 161.332420, 837.373623 161.332420)"
4,9.67,4,5,,1,1,0.23,5,65,1900,,,,"LINESTRING (837.373623 161.332420, 788.953294 161.332420)"
5,9.87,5,6,,1,1,0.5,4,65,1900,,,,"LINESTRING (788.953294 161.332420, 738.472525 160.302200)"
6,10.67,6,7,,1,1,0.57,6,65,1900,,,,"LINESTRING (738.472525 160.302200, 702.414834 160.302200)"
7,11.02,7,8,,1,1,0.25,6,65,1900,,,,"LINESTRING (702.414834 160.302200, 660.175823 161.332420)"
8,11.17,8,9,,1,1,0.18,6,65,1900,,,,"LINESTRING (660.175823 161.332420, 618.967033 170.604398)"
9,11.37,9,10,,1,1,0.38,6,65,1900,,,,"LINESTRING (618.967033 170.604398, 573.637363 193.269233)"
10,11.93,10,11,,1,1,0.56,6,65,1900,,,,"LINESTRING (573.637363 193.269233, 526.247254 221.085166)"
11,12.48,11,12,,1,1,0.35,5,65,1900,,,,"LINESTRING (526.247254 221.085166, 473.706045 248.901100)"
12,12.62,12,13,,1,1,0.21,5,65,1900,,,,"LINESTRING (473.706045 248.901100, 420.134618 280.837913)"
13,12.89,13,14,,1,1,0.45,5,65,1900,,,,"LINESTRING (420.134618 280.837913, 379.956047 298.351649)"
14,13.51,14,15,,1,1,0.42,4,65,1900,,,,"LINESTRING (379.956047 298.351649, 333.596157 332.348901)"
15,13.74,15,16,,1,1,0.42,4,65,1900,,,,"LINESTRING (333.596157 332.348901, 299.598905 368.406593)"
16,14.34,16,17,,1,1,0.43,4,65,1900,,,,"LINESTRING (299.598905 368.406593, 256.329675 406.524724)"
17,14.59,17,18,,1,1,0.21,4,65,1900,,,,"LINESTRING (256.329675 406.524724, 209.969785 451.854394)"
18,14.77,18,19,,1,1,0.18,6,65,1900,,,,"LINESTRING (209.969785 451.854394, 169.791214 501.304943)"
