node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
1,,999.118126,165.453299,,,0,"POINT (999.118126 165.453299)"
2,,956.879116,165.453299,,,0,"POINT (956.879116 165.453299)"
3,,899.186809,161.332420,,,0,"POINT (899.186809 161.332420)"
4,,837.373623,161.332420,,,0,"POINT (837.373623 161.332420)"
5,,788.953294,161.332420,,,0,"POINT (788.953294 161.332420)"
6,,738.472525,160.302200,,,0,"POINT (738.472525 160.302200)"
7,,702.414834,160.302200,,,0,"POINT (702.414834 160.302200)"
8,,660.175823,161.332420,,,0,"POINT (660.175823 161.332420)"
9,,618.967033,170.604398,,,0,"POINT (618.967033 170.604398)"
10,,573.637363,193.269233,,,0,"POINT (573.637363 193.269233)"
11,,526.247254,221.085166,,,0,"POINT (526.247254 221.085166)"
12,,473.706045,248.901100,,,0,"POINT (473.706045 248.901100)"
13,,420.134618,280.837913,,,0,"POINT (420.134618 280.837913)"
14,,379.956047,298.351649,,,0,"POINT (379.956047 298.351649)"
15,,333.596157,332.348901,,,0,"POINT (333.596157 332.348901)"
16,,299.598905,368.406593,,,0,"POINT (299.598905 368.406593)"
17,,256.329675,406.524724,,,0,"POINT (256.329675 406.524724)"
18,,209.969785,451.854394,,,0,"POINT (209.969785 451.854394)"
19,,169.791214,501.304943,,,0,"POINT (169.791214 501.304943)"
