agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
1,1,2,0,1,2,p,AM,5000.00,0.0,13.0118,11.0000,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0730:00;0731:05;0732:11;0733:18;0734:25;0735:31;0736:38;0737:45;0739:18;0740:52;0741:58;0743:00;,450.00;451.09;452.20;453.31;454.42;455.53;456.64;457.75;459.31;460.87;461.98;463.01;,1.09;1.11;1.11;1.11;1.11;1.11;1.11;1.56;1.56;1.11;1.03;
2,1,3,0,1,34,p,AM,4000.00,0.0,31.6338,6.0000,1;30;31;32;33;35;34;,29;30;31;32;34;35;,0730:00;0731:50;0738:49;0740:40;0747:39;0754:38;0801:38;,450.00;451.84;458.83;460.67;467.66;474.65;481.63;,1.84;6.99;1.84;6.99;6.99;6.99;
3,36,37,0,36,37,p,AM,1000.00,0.0,5.9315,4.0841,36;31;37;,36;38;,0730:00;0734:00;0735:55;,450.00;454.01;455.93;,4.01;1.92;
4,37,36,0,37,36,p,AM,1000.00,0.0,3.8705,4.1924,37;31;36;,39;37;,0730:00;0731:55;0733:52;,450.00;451.92;453.87;,1.92;1.95;
