agent_id, from_origin_node_id, to_destination_node_id, departure_time_in_min, arrival_time_in_min, complete_flag, travel_time_in_min, distance,path_node_sequence,path_time_sequence
164,6463,27438,420.11,429.8,c,9.69,11.2,6463;7496;7728;27438;,420.1;424.2;427.5;429.8;
165,26123,27438,420.11,424.7,c,4.59,6,26123;27438;,420.1;424.7;
166,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
167,7496,27438,420.11,424.6,c,4.49,5.7,7496;7728;27438;,420.1;422.2;424.6;
168,26123,7728,420.11,427.1,c,6.99,8.9,26123;27438;7728;,420.1;424.6;427.1;
169,7496,7728,420.11,422.3,c,2.19,2.8,7496;7728;,420.1;422.3;
170,27438,7496,420.11,424.5,c,4.39,5.7,27438;7728;7496;,420.1;422.3;424.5;
171,7728,27438,420.11,422.3,c,2.19,2.9,7728;27438;,420.1;422.3;
172,27438,7728,420.11,422.3,c,2.19,2.9,27438;7728;,420.1;422.3;
173,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
174,26123,6463,420.11,433.6,c,13.49,17.2,26123;27438;7728;7496;6463;,420.1;424.6;427.1;429.2;433.6;
175,7496,6463,420.11,424.3,c,4.19,5.5,7496;6463;,420.1;424.3;
176,26123,27438,420.11,424.7,c,4.59,6,26123;27438;,420.1;424.7;
177,7728,7496,420.11,422.2,c,2.09,2.8,7728;7496;,420.1;422.2;
178,7496,7728,420.11,422.3,c,2.19,2.8,7496;7728;,420.1;422.3;
179,6463,7496,420.11,424.3,c,4.19,5.5,6463;7496;,420.1;424.3;
180,6463,7728,420.12,427.5,c,7.38,8.3,6463;7496;7728;,420.1;424.2;427.5;
181,26123,7496,420.12,429.3,c,9.18,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
182,6463,7496,420.12,424.3,c,4.18,5.5,6463;7496;,420.1;424.3;
183,27438,26123,420.12,424.6,c,4.48,6,27438;26123;,420.1;424.6;
184,26123,27438,420.12,424.7,c,4.58,6,26123;27438;,420.1;424.7;
185,27438,7728,420.12,422.3,c,2.18,2.9,27438;7728;,420.1;422.3;
186,7496,7728,420.12,422.3,c,2.18,2.8,7496;7728;,420.1;422.3;
187,7496,6463,420.12,424.3,c,4.18,5.5,7496;6463;,420.1;424.3;
188,7496,27438,420.12,424.6,c,4.48,5.7,7496;7728;27438;,420.1;422.2;424.6;
189,6463,7496,420.12,424.4,c,4.28,5.5,6463;7496;,420.1;424.4;
190,27438,7496,420.12,424.5,c,4.38,5.7,27438;7728;7496;,420.1;422.3;424.5;
191,6463,26123,420.12,434.5,c,14.38,17.2,6463;7496;7728;27438;26123;,420.1;424.4;427.6;429.9;434.5;
192,26123,7728,420.12,427.1,c,6.98,8.9,26123;27438;7728;,420.1;424.6;427.1;
193,26123,27438,420.12,424.7,c,4.58,6,26123;27438;,420.1;424.7;
194,6463,7496,420.12,424.4,c,4.28,5.5,6463;7496;,420.1;424.4;
195,7728,7496,420.12,422.3,c,2.18,2.8,7728;7496;,420.1;422.3;
196,7496,7728,420.13,422.3,c,2.17,2.8,7496;7728;,420.1;422.3;
197,27438,7728,420.13,422.3,c,2.17,2.9,27438;7728;,420.1;422.3;
198,6463,27438,420.13,429.9,c,9.77,11.2,6463;7496;7728;27438;,420.1;424.4;427.6;429.9;
199,26123,7496,420.13,429.3,c,9.17,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
200,7728,27438,420.13,422.3,c,2.17,2.9,7728;27438;,420.1;422.3;
201,7496,26123,420.13,429.2,c,9.07,11.7,7496;7728;27438;26123;,420.1;422.2;424.6;429.2;
202,6463,7496,420.13,424.4,c,4.27,5.5,6463;7496;,420.1;424.4;
203,7496,6463,420.13,424.3,c,4.17,5.5,7496;6463;,420.1;424.3;
204,26123,27438,420.13,424.7,c,4.57,6,26123;27438;,420.1;424.7;
205,7496,7728,420.13,422.3,c,2.17,2.8,7496;7728;,420.1;422.3;
206,6463,7496,420.13,424.4,c,4.27,5.5,6463;7496;,420.1;424.4;
207,27438,26123,420.13,424.7,c,4.57,6,27438;26123;,420.1;424.7;
208,27438,7496,420.13,424.5,c,4.37,5.7,27438;7728;7496;,420.1;422.3;424.5;
209,27438,7728,420.13,422.3,c,2.17,2.9,27438;7728;,420.1;422.3;
210,7496,27438,420.13,424.6,c,4.47,5.7,7496;7728;27438;,420.1;422.2;424.6;
211,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
212,6463,7728,420.14,427.6,c,7.46,8.3,6463;7496;7728;,420.1;424.4;427.6;
213,26123,27438,420.14,424.7,c,4.56,6,26123;27438;,420.1;424.7;
214,7496,7728,420.14,422.3,c,2.16,2.8,7496;7728;,420.1;422.3;
215,7728,7496,420.14,422.3,c,2.16,2.8,7728;7496;,420.1;422.3;
216,7496,6463,420.14,424.3,c,4.16,5.5,7496;6463;,420.1;424.3;
217,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
218,26123,7728,420.14,427.1,c,6.96,8.9,26123;27438;7728;,420.1;424.6;427.1;
219,26123,6463,420.14,433.6,c,13.46,17.2,26123;27438;7728;7496;6463;,420.1;424.6;427.1;429.2;433.6;
220,26123,7496,420.14,429.3,c,9.16,11.7,26123;27438;7728;7496;,420.1;424.6;427.1;429.3;
221,7496,7728,420.14,422.3,c,2.16,2.8,7496;7728;,420.1;422.3;
222,26123,27438,420.14,424.7,c,4.56,6,26123;27438;,420.1;424.7;
223,6463,7496,420.14,424.4,c,4.26,5.5,6463;7496;,420.1;424.4;
224,27438,7728,420.14,422.3,c,2.16,2.9,27438;7728;,420.1;422.3;
225,27438,6463,420.14,428.7,c,8.56,11.2,27438;7728;7496;6463;,420.1;422.3;424.4;428.7;
226,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
227,27438,7496,420.15,424.6,c,4.45,5.7,27438;7728;7496;,420.1;422.3;424.6;
228,7728,27438,420.15,422.4,c,2.25,2.9,7728;27438;,420.1;422.4;
229,7496,6463,420.15,424.3,c,4.15,5.5,7496;6463;,420.1;424.3;
230,7496,7728,420.15,422.3,c,2.15,2.8,7496;7728;,420.1;422.3;
231,27438,26123,420.15,424.7,c,4.55,6,27438;26123;,420.1;424.7;
232,26123,27438,420.15,424.7,c,4.55,6,26123;27438;,420.1;424.7;
233,7728,7496,420.15,422.3,c,2.15,2.8,7728;7496;,420.1;422.3;
234,7496,27438,420.15,424.6,c,4.45,5.7,7496;7728;27438;,420.1;422.2;424.6;
235,6463,27438,420.15,429.9,c,9.75,11.2,6463;7496;7728;27438;,420.1;424.4;427.6;429.9;
236,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
237,27438,7728,420.15,422.4,c,2.25,2.9,27438;7728;,420.1;422.4;
238,26123,7496,420.15,429.3,c,9.15,11.7,26123;27438;7728;7496;,420.1;424.7;427.1;429.3;
239,7496,7728,420.15,422.3,c,2.15,2.8,7496;7728;,420.1;422.3;
240,6463,7496,420.15,424.4,c,4.25,5.5,6463;7496;,420.1;424.4;
241,26123,27438,420.15,424.7,c,4.55,6,26123;27438;,420.1;424.7;
242,6463,26123,420.15,434.5,c,14.35,17.2,6463;7496;7728;27438;26123;,420.1;424.4;427.6;429.9;434.5;
243,26123,7728,420.15,427.2,c,7.05,8.9,26123;27438;7728;,420.1;424.8;427.2;
244,6463,7728,420.15,427.6,c,7.45,8.3,6463;7496;7728;,420.1;424.4;427.6;
245,7496,6463,420.16,424.3,c,4.14,5.5,7496;6463;,420.1;424.3;
246,6463,7496,420.16,424.4,c,4.24,5.5,6463;7496;,420.1;424.4;
247,7496,7728,420.16,422.3,c,2.14,2.8,7496;7728;,420.1;422.3;
248,27438,7728,420.16,422.4,c,2.24,2.9,27438;7728;,420.1;422.4;
249,27438,7496,420.16,424.6,c,4.44,5.7,27438;7728;7496;,420.1;422.3;424.6;
250,7728,7496,420.16,422.3,c,2.14,2.8,7728;7496;,420.1;422.3;
251,26123,27438,420.16,424.8,c,4.64,6,26123;27438;,420.1;424.8;
252,6463,7496,420.16,424.4,c,4.24,5.5,6463;7496;,420.1;424.4;
253,7496,26123,420.16,429.2,c,9.04,11.7,7496;7728;27438;26123;,420.1;422.3;424.6;429.2;
254,7496,27438,420.16,424.6,c,4.44,5.7,7496;7728;27438;,420.1;422.3;424.6;
255,27438,26123,420.16,424.7,c,4.54,6,27438;26123;,420.1;424.7;
256,26123,7496,420.16,429.4,c,9.24,11.7,26123;27438;7728;7496;,420.1;424.8;427.2;429.4;
257,6463,7496,420.16,424.4,c,4.24,5.5,6463;7496;,420.1;424.4;
258,7496,7728,420.16,422.3,c,2.14,2.8,7496;7728;,420.1;422.3;
259,7496,6463,420.16,424.3,c,4.14,5.5,7496;6463;,420.1;424.3;
260,7728,27438,420.16,422.4,c,2.24,2.9,7728;27438;,420.1;422.4;
261,26123,27438,420.17,424.8,c,4.63,6,26123;27438;,420.1;424.8;
262,27438,7728,420.17,422.4,c,2.23,2.9,27438;7728;,420.1;422.4;
263,6463,7496,420.17,424.4,c,4.23,5.5,6463;7496;,420.1;424.4;
264,26123,6463,420.17,433.6,c,13.43,17.2,26123;27438;7728;7496;6463;,420.1;424.8;427.2;429.3;433.6;
265,7496,7728,420.17,422.3,c,2.13,2.8,7496;7728;,420.1;422.3;
266,6463,27438,420.17,429.9,c,9.73,11.2,6463;7496;7728;27438;,420.1;424.3;427.6;429.9;
267,6463,7496,420.17,424.4,c,4.23,5.5,6463;7496;,420.1;424.4;
268,26123,7728,420.17,427.2,c,7.03,8.9,26123;27438;7728;,420.1;424.8;427.2;
269,27438,7496,420.17,424.6,c,4.43,5.7,27438;7728;7496;,420.1;422.3;424.6;
270,7728,7496,420.17,422.3,c,2.13,2.8,7728;7496;,420.1;422.3;
271,26123,27438,420.17,424.8,c,4.63,6,26123;27438;,420.1;424.8;
272,7496,6463,420.17,424.3,c,4.13,5.5,7496;6463;,420.1;424.3;
273,6463,7496,420.17,424.4,c,4.23,5.5,6463;7496;,420.1;424.4;
274,27438,7728,420.17,422.4,c,2.23,2.9,27438;7728;,420.1;422.4;
275,6463,7728,420.17,427.6,c,7.43,8.3,6463;7496;7728;,420.1;424.3;427.6;
276,7496,7728,420.17,422.3,c,2.13,2.8,7496;7728;,420.1;422.3;
277,26123,7496,420.17,429.4,c,9.23,11.7,26123;27438;7728;7496;,420.1;424.8;427.2;429.4;
278,7496,27438,420.17,424.6,c,4.43,5.7,7496;7728;27438;,420.1;422.3;424.6;
279,6463,7496,420.18,424.5,c,4.32,5.5,6463;7496;,420.1;424.5;
280,27438,26123,420.18,424.7,c,4.52,6,27438;26123;,420.1;424.7;
281,26123,27438,420.18,424.8,c,4.62,6,26123;27438;,420.1;424.8;
282,7728,26123,420.18,427,c,6.82,8.9,7728;27438;26123;,420.1;422.4;427.0;
283,7496,7728,420.18,422.3,c,2.12,2.8,7496;7728;,420.1;422.3;
284,6463,7496,420.18,424.5,c,4.32,5.5,6463;7496;,420.1;424.5;
285,7496,6463,420.18,424.3,c,4.12,5.5,7496;6463;,420.1;424.3;
286,7728,7496,420.18,422.3,c,2.12,2.8,7728;7496;,420.1;422.3;
287,27438,7728,420.18,422.4,c,2.22,2.9,27438;7728;,420.1;422.4;
288,27438,7496,420.18,424.6,c,4.42,5.7,27438;7728;7496;,420.1;422.4;424.6;
289,7728,27438,420.18,422.4,c,2.22,2.9,7728;27438;,420.1;422.4;
290,26123,27438,420.18,424.8,c,4.62,6,26123;27438;,420.1;424.8;
291,6463,7496,420.18,424.5,c,4.32,5.5,6463;7496;,420.1;424.5;
292,7496,7728,420.18,422.3,c,2.12,2.8,7496;7728;,420.1;422.3;
293,6463,26123,420.19,434.7,c,14.51,17.2,6463;7496;7728;27438;26123;,420.1;424.5;427.8;430.1;434.7;
294,26123,7728,420.19,427.2,c,7.01,8.9,26123;27438;7728;,420.1;424.8;427.2;
295,26123,7496,420.19,429.4,c,9.21,11.7,26123;27438;7728;7496;,420.1;424.8;427.2;429.4;
296,6463,7496,420.19,424.5,c,4.31,5.5,6463;7496;,420.1;424.5;
297,7496,27438,420.19,424.7,c,4.51,5.7,7496;7728;27438;,420.1;422.3;424.7;
298,26123,27438,420.19,424.8,c,4.61,6,26123;27438;,420.1;424.8;
299,7496,6463,420.19,424.3,c,4.11,5.5,7496;6463;,420.1;424.3;
300,27438,7728,420.19,422.4,c,2.21,2.9,27438;7728;,420.1;422.4;
301,7496,7728,420.19,422.4,c,2.21,2.8,7496;7728;,420.1;422.4;
302,6463,27438,420.19,430.1,c,9.91,11.2,6463;7496;7728;27438;,420.1;424.5;427.8;430.1;
303,27438,6463,420.19,428.9,c,8.71,11.2,27438;7728;7496;6463;,420.1;422.4;424.6;428.9;
304,6463,7496,420.19,424.5,c,4.31,5.5,6463;7496;,420.1;424.5;
