link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,10.000,0.000,60.000,simulation-based
1,1,3,0701:00_0702:00,0.000,2.000,0.000,0.200,0.000,10.329,19.718,58.091,simulation-based
1,1,3,0702:00_0703:00,0.000,119.000,0.000,11.900,0.000,10.719,43.137,55.976,simulation-based
1,1,3,0703:00_0704:00,0.000,236.000,0.000,23.600,0.000,11.037,62.198,54.364,simulation-based
1,1,3,0704:00_0705:00,0.000,352.000,0.000,35.200,0.000,11.305,78.299,53.074,simulation-based
1,1,3,0705:00_0706:00,0.000,469.000,0.000,46.900,0.000,11.558,93.470,51.913,simulation-based
1,1,3,0706:00_0707:00,0.000,586.000,0.000,58.600,0.000,11.784,107.043,50.916,simulation-based
1,1,3,0707:00_0708:00,0.000,702.000,0.000,70.200,0.000,12.048,122.897,49.800,simulation-based
1,1,3,0708:00_0709:00,0.000,819.000,0.000,81.900,0.000,12.288,137.273,48.829,simulation-based
1,1,3,0709:00_0710:00,0.000,936.000,0.000,93.600,0.000,12.569,154.147,47.736,simulation-based
1,1,3,0710:00_0711:00,0.000,1052.000,0.000,105.200,0.000,12.818,169.068,46.810,simulation-based
1,1,3,0711:00_0712:00,1.000,1169.000,1.000,116.800,1.000,13.112,186.735,45.759,simulation-based
1,1,3,0712:00_0713:00,69.000,1286.000,70.000,121.600,49.000,13.361,201.681,44.906,simulation-based
1,1,3,0713:00_0714:00,85.000,1402.000,155.000,124.700,81.000,13.619,217.111,44.058,simulation-based
1,1,3,0714:00_0715:00,91.000,1519.000,246.000,127.300,106.000,13.868,232.051,43.267,simulation-based
1,1,3,0715:00_0716:00,87.000,1636.000,333.000,130.300,136.000,14.083,244.966,42.605,simulation-based
1,1,3,0716:00_0717:00,98.000,1752.000,431.000,132.100,155.000,14.327,259.624,41.879,simulation-based
1,1,3,0717:00_0718:00,89.000,1869.000,520.000,134.900,182.000,14.583,274.957,41.145,simulation-based
1,1,3,0718:00_0719:00,97.000,1986.000,617.000,136.900,202.000,15.370,322.200,39.037,simulation-based
1,1,3,0719:00_0720:00,93.000,2001.000,710.000,129.100,226.000,10.000,0.000,60.000,simulation-based
1,1,3,0720:00_0721:00,92.000,2001.000,802.000,119.900,250.000,10.000,0.000,60.000,simulation-based
1,1,3,0721:00_0722:00,95.000,2001.000,897.000,110.400,272.000,10.000,0.000,60.000,simulation-based
1,1,3,0722:00_0723:00,88.000,2001.000,985.000,101.600,301.000,10.000,0.000,60.000,simulation-based
1,1,3,0723:00_0724:00,94.000,2001.000,1079.000,92.200,323.000,10.000,0.000,60.000,simulation-based
1,1,3,0724:00_0725:00,93.000,2001.000,1172.000,82.900,347.000,10.000,0.000,60.000,simulation-based
