agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,time_sequence,geometry
1,20,30,0,133,96,p,AM,1,0,0.455,0.455,133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;96;,0730:00;0730:00;0730:00;0730:00;0730:01;0730:01;0730:01;0730:02;0730:02;0730:02;0730:03;0730:03;0730:03;0730:03;0730:04;0730:04;0730:04;0730:05;0730:05;0730:05;0730:06;0730:06;0730:06;0730:06;0730:07;0730:07;0730:07;0730:08;0730:08;0730:08;0730:09;0730:09;0730:09;0730:09;0730:10;0730:10;0730:10;0730:11;0730:11;0730:11;0730:12;0730:12;0730:12;0730:12;0730:13;0730:13;0730:13;0730:14;0730:14;0730:14;0730:15;0730:15;0730:15;0730:15;0730:16;0730:16;0730:16;0730:17;0730:17;0730:17;0730:18;0730:18;0730:18;0730:18;0730:19;0730:19;0730:19;0730:20;0730:20;0730:20;0730:21;0730:21;0730:21;0730:21;0730:22;0730:22;0730:22;0730:23;0730:23;0730:23;0730:24;0730:24;0730:24;0730:24;0730:25;0730:25;0730:25;0730:26;0730:26;0730:26;0730:27;0730:27;,
2,21,31,0,650,610,p,AM,1,0,0.355,0.355,650;651;652;653;654;655;656;657;658;659;660;661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;690;691;692;693;694;695;585;586;587;588;589;590;591;592;593;594;595;596;597;598;599;600;601;602;603;604;605;606;607;608;609;610;,0730:00;0730:00;0730:00;0730:00;0730:01;0730:01;0730:01;0730:02;0730:02;0730:02;0730:03;0730:03;0730:03;0730:03;0730:04;0730:04;0730:04;0730:05;0730:05;0730:05;0730:06;0730:06;0730:06;0730:06;0730:07;0730:07;0730:07;0730:08;0730:08;0730:08;0730:09;0730:09;0730:09;0730:09;0730:10;0730:10;0730:10;0730:11;0730:11;0730:11;0730:12;0730:12;0730:12;0730:12;0730:13;0730:13;0730:13;0730:14;0730:14;0730:14;0730:15;0730:15;0730:15;0730:15;0730:16;0730:16;0730:16;0730:17;0730:17;0730:17;0730:18;0730:18;0730:18;0730:18;0730:19;0730:19;0730:19;0730:20;0730:20;0730:20;0730:21;0730:21;,
3,21,33,0,650,611,p,AM,1,0,0.36,0.36,650;651;652;653;654;655;656;657;658;659;660;661;662;663;664;665;666;667;668;669;670;671;672;673;674;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;690;691;692;693;694;695;585;586;587;588;589;590;591;592;593;594;595;596;597;598;599;600;601;602;603;604;605;606;607;608;609;610;611;,0730:00;0730:00;0730:00;0730:00;0730:01;0730:01;0730:01;0730:02;0730:02;0730:02;0730:03;0730:03;0730:03;0730:03;0730:04;0730:04;0730:04;0730:05;0730:05;0730:05;0730:06;0730:06;0730:06;0730:06;0730:07;0730:07;0730:07;0730:08;0730:08;0730:08;0730:09;0730:09;0730:09;0730:09;0730:10;0730:10;0730:10;0730:11;0730:11;0730:11;0730:12;0730:12;0730:12;0730:12;0730:13;0730:13;0730:13;0730:14;0730:14;0730:14;0730:15;0730:15;0730:15;0730:15;0730:16;0730:16;0730:16;0730:17;0730:17;0730:17;0730:18;0730:18;0730:18;0730:18;0730:19;0730:19;0730:19;0730:20;0730:20;0730:20;0730:21;0730:21;0730:21;,
4,22,32,0,390,481,p,AM,1,0,0.455,0.455,390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;435;436;437;438;439;440;441;442;443;444;445;446;447;448;449;450;451;452;453;454;455;456;457;458;459;460;461;462;463;464;465;466;467;468;469;470;471;472;473;474;475;476;477;478;479;480;481;,0730:00;0730:00;0730:00;0730:00;0730:01;0730:01;0730:01;0730:02;0730:02;0730:02;0730:03;0730:03;0730:03;0730:03;0730:04;0730:04;0730:04;0730:05;0730:05;0730:05;0730:06;0730:06;0730:06;0730:06;0730:07;0730:07;0730:07;0730:08;0730:08;0730:08;0730:09;0730:09;0730:09;0730:09;0730:10;0730:10;0730:10;0730:11;0730:11;0730:11;0730:12;0730:12;0730:12;0730:12;0730:13;0730:13;0730:13;0730:14;0730:14;0730:14;0730:15;0730:15;0730:15;0730:15;0730:16;0730:16;0730:16;0730:17;0730:17;0730:17;0730:18;0730:18;0730:18;0730:18;0730:19;0730:19;0730:19;0730:20;0730:20;0730:20;0730:21;0730:21;0730:21;0730:21;0730:22;0730:22;0730:22;0730:23;0730:23;0730:23;0730:24;0730:24;0730:24;0730:24;0730:25;0730:25;0730:25;0730:26;0730:26;0730:26;0730:27;0730:27;,
