link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry
1,,1,2,,1,1,1.02873,4,65,1900,,,,"LINESTRING (762.773499 410.070511, 604.995724 413.104699)"
2,,2,1,,1,1,1.02873,4,65,1900,,,,"LINESTRING (-58383.959307 -3067016.832432, -58226.181531 -3067019.866620)"
3,,2,3,,1,1,0.99394,4,65,1900,,,,"LINESTRING (604.995724 413.104699, 452.527777 412.346152)"
4,,3,2,,1,1,0.99394,4,65,1900,,,,"LINESTRING (15716.088175 -3067546.770223, 15868.556122 -3067546.011676)"
5,,3,4,,1,1,1.35513,4,65,1900,,,,"LINESTRING (452.527777 412.346152, 244.685899 408.553417)"
6,,4,3,,1,1,1.35513,4,65,1900,,,,"LINESTRING (56220.797248 -3067077.842801, 56428.639125 -3067074.050066)"
7,,4,5,,1,1,1.3549,3,65,1900,,,,"LINESTRING (244.685899 408.553417, 36.844022 408.553417)"
8,,5,4,,1,1,1.3549,3,65,1900,,,,"LINESTRING (36.926228 -3067588.531983, 244.768106 -3067588.531983)"
