link_id,from_node_id,to_node_id,time_period,speed,density,volume,volume_per_lane,travel time
1,1,2,0000_0005,68.4,5.333333333,121.6,30.4,0.016447368
1,1,2,0005_0010,69.2,4.543352601,104.8,26.2,0.016257225
1,1,2,0010_0015,68.2,5.841642229,132.8,33.2,0.016495601
1,1,2,0015_0020,68,4.835294118,109.6,27.4,0.016544118
1,1,2,0020_0025,69.8,4.435530086,103.2,25.8,0.016117479
1,1,2,0025_0030,68.2,4.715542522,107.2,26.8,0.016495601
1,1,2,0030_0035,68,4.447058824,100.8,25.2,0.016544118
1,1,2,0035_0040,67.4,3.667655786,82.4,20.6,0.016691395
1,1,2,0040_0045,69.4,5.463976945,126.4,31.6,0.016210375
1,1,2,0045_0050,68.8,4.674418605,107.2,26.8,0.016351744
1,1,2,0050_0055,67.2,3.607142857,80.8,20.2,0.016741071
1,1,2,0055_0100,68.6,3.533527697,80.8,20.2,0.016399417
1,1,2,0100_0105,69.2,3.74566474,86.4,21.6,0.016257225
1,1,2,0105_0110,68,3.670588235,83.2,20.8,0.016544118
1,1,2,0110_0115,68.6,3.56851312,81.6,20.4,0.016399417
1,1,2,0115_0120,66.2,3.262839879,72,18,0.016993958
1,1,2,0120_0125,65.2,4.306748466,93.6,23.4,0.017254601
1,1,2,0125_0130,68.8,2.476744186,56.8,14.2,0.016351744
1,1,2,0130_0135,68.6,3.078717201,70.4,17.6,0.016399417
1,1,2,0135_0140,68.6,3.043731778,69.6,17.4,0.016399417
1,1,2,0140_0145,66.8,2.982035928,66.4,16.6,0.016841317
1,1,2,0145_0150,68.2,3.237536657,73.6,18.4,0.016495601
1,1,2,0150_0155,67.8,2.513274336,56.8,14.2,0.01659292
1,1,2,0155_0200,68.4,2.666666667,60.8,15.2,0.016447368
1,1,2,0200_0205,70.2,2.905982906,68,17,0.016025641
1,1,2,0205_0210,68.8,3,68.8,17.2,0.016351744
1,1,2,0210_0215,68.6,2.973760933,68,17,0.016399417
1,1,2,0215_0220,67.8,2.371681416,53.6,13.4,0.01659292
1,1,2,0220_0225,67.8,2.442477876,55.2,13.8,0.01659292
1,1,2,0225_0230,69.8,2.200573066,51.2,12.8,0.016117479
1,1,2,0230_0235,68.6,2.798833819,64,16,0.016399417
1,1,2,0235_0240,67.8,3.433628319,77.6,19.4,0.01659292
1,1,2,0240_0245,69.8,3.335243553,77.6,19.4,0.016117479
1,1,2,0245_0250,69.2,2.670520231,61.6,15.4,0.016257225
1,1,2,0250_0255,70.4,2.215909091,52,13,0.015980114
1,1,2,0255_0300,67.2,1.892857143,42.4,10.6,0.016741071
1,1,2,0300_0305,68,2.788235294,63.2,15.8,0.016544118
1,1,2,0305_0310,69.8,2.269340974,52.8,13.2,0.016117479
1,1,2,0310_0315,68.8,2.755813953,63.2,15.8,0.016351744
1,1,2,0315_0320,67.4,2.136498516,48,12,0.016691395
1,1,2,0320_0325,67.8,2.336283186,52.8,13.2,0.01659292
1,1,2,0325_0330,71.8,2.573816156,61.6,15.4,0.015668524
1,1,2,0330_0335,69.8,2.819484241,65.6,16.4,0.016117479
1,1,2,0335_0340,68.6,3.078717201,70.4,17.6,0.016399417
1,1,2,0340_0345,70.2,3.213675214,75.2,18.8,0.016025641
1,1,2,0345_0350,71.6,3.05027933,72.8,18.2,0.015712291
1,1,2,0350_0355,69.4,3.008645533,69.6,17.4,0.016210375
1,1,2,0355_0400,70,2.742857143,64,16,0.016071429
1,1,2,0400_0405,68,3.035294118,68.8,17.2,0.016544118
1,1,2,0405_0410,68.6,3.183673469,72.8,18.2,0.016399417
1,1,2,0410_0415,69.2,3.572254335,82.4,20.6,0.016257225
1,1,2,0415_0420,71,3.684507042,87.2,21.8,0.01584507
1,1,2,0420_0425,69.4,4.530259366,104.8,26.2,0.016210375
1,1,2,0425_0430,69.2,4.924855491,113.6,28.4,0.016257225
1,1,2,0430_0435,70.4,5.693181818,133.6,33.4,0.015980114
1,1,2,0435_0440,70.4,6.272727273,147.2,36.8,0.015980114
1,1,2,0440_0445,69,7.095652174,163.2,40.8,0.016304348
1,1,2,0445_0450,70.8,7.084745763,167.2,41.8,0.015889831
1,1,2,0450_0455,70.6,6.458923513,152,38,0.015934844
1,1,2,0455_0500,70.8,6.406779661,151.2,37.8,0.015889831
1,1,2,0500_0505,71,5.645070423,133.6,33.4,0.01584507
1,1,2,0505_0510,71.2,7.348314607,174.4,43.6,0.015800562
1,1,2,0510_0515,69.8,7.908309456,184,46,0.016117479
1,1,2,0515_0520,68.4,8,182.4,45.6,0.016447368
1,1,2,0520_0525,70,9.36,218.4,54.6,0.016071429
1,1,2,0525_0530,70.4,11.04545455,259.2,64.8,0.015980114
1,1,2,0530_0535,69.4,11.06628242,256,64,0.016210375
1,1,2,0535_0540,68.6,11.02040816,252,63,0.016399417
1,1,2,0540_0545,68.8,17.12790698,392.8,98.2,0.016351744
1,1,2,0545_0550,69.4,16.18443804,374.4,93.6,0.016210375
1,1,2,0550_0555,69,10.88695652,250.4,62.6,0.016304348
1,1,2,0555_0600,67.8,17.94690265,405.6,101.4,0.01659292
1,1,2,0600_0605,67,15.68955224,350.4,87.6,0.016791045
1,1,2,0605_0610,66.6,18.30630631,406.4,101.6,0.016891892
1,1,2,0610_0615,65,19.34769231,419.2,104.8,0.017307692
1,1,2,0615_0620,66.6,20.75675676,460.8,115.2,0.016891892
1,1,2,0620_0625,63.4,23.96214511,506.4,126.6,0.017744479
1,1,2,0625_0630,62.6,25.34185304,528.8,132.2,0.017971246
1,1,2,0630_0635,62,26.12903226,540,135,0.018145161
1,1,2,0635_0640,59.2,28.45945946,561.6,140.4,0.019003378
